election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
K20,stat2011:50000516,statistical_area,stat2011:50000516,2011,50000516,516,loc:5000,5000,תל אביב -יפו,7,6,3617,2495,2483,12,אמת,1019,661,358,0.410391,1019,29,40,0,0,0,54,0,0,0,0,125,17,245,661,0,0,0,0,213,0,1,39,14,1,25
K20,stat2011:50000517,statistical_area,stat2011:50000517,2011,50000517,517,loc:5000,5000,תל אביב -יפו,5,5,3019,2024,2013,11,אמת,860,508,352,0.427223,860,28,31,0,0,0,51,0,0,0,1,89,17,207,508,2,0,0,0,181,0,0,20,10,2,6
K20,stat2011:50000521,statistical_area,stat2011:50000521,2011,50000521,521,loc:5000,5000,תל אביב -יפו,3,3,1998,975,973,2,אמת,308,204,104,0.316547,308,3,14,0,0,2,30,0,0,0,0,72,17,168,204,0,0,0,1,95,0,1,27,7,1,23
K20,stat2011:50000522,statistical_area,stat2011:50000522,2011,50000522,522,loc:5000,5000,תל אביב -יפו,3,3,2004,1052,1045,7,אמת,327,232,95,0.312919,327,8,3,0,0,1,51,0,0,0,0,99,10,232,154,0,0,0,0,80,0,2,26,8,2,42
K20,stat2011:50000523,statistical_area,stat2011:50000523,2011,50000523,523,loc:5000,5000,תל אביב -יפו,3,3,1785,996,993,3,אמת,292,207,85,0.294058,292,11,16,0,1,0,37,0,0,0,0,103,11,207,190,0,1,0,0,67,1,0,21,7,2,26
K20,stat2011:50000532,statistical_area,stat2011:50000532,2011,50000532,532,loc:5000,5000,תל אביב -יפו,2,2,995,532,531,1,אמת,189,115,74,0.355932,189,5,7,0,0,0,11,0,0,0,0,33,6,115,93,0,0,0,0,40,1,0,5,8,0,18
K20,stat2011:50000533,statistical_area,stat2011:50000533,2011,50000533,533,loc:5000,5000,תל אביב -יפו,5,5,3321,2068,2056,12,אמת,669,409,260,0.325389,669,15,30,2,0,0,74,0,0,0,0,140,12,391,409,0,0,0,0,165,1,2,31,23,4,88
K20,stat2011:50000541,statistical_area,stat2011:50000541,2011,50000541,541,loc:5000,5000,תל אביב -יפו,2,2,1418,826,825,1,אמת,250,211,39,0.30303,250,7,22,0,0,0,26,0,0,0,0,58,10,139,211,1,1,0,0,66,0,1,16,6,0,11
K20,stat2011:50000542,statistical_area,stat2011:50000542,2011,50000542,542,loc:5000,5000,תל אביב -יפו,2,2,853,478,477,1,אמת,167,116,51,0.350105,167,1,3,0,0,0,19,0,0,0,0,33,8,55,116,0,0,0,0,48,0,0,13,6,0,8
K20,stat2011:50000543,statistical_area,stat2011:50000543,2011,50000543,543,loc:5000,5000,תל אביב -יפו,3,3,1484,878,873,5,אמת,317,188,129,0.363116,317,10,11,0,0,0,26,0,0,0,0,62,12,123,188,0,0,0,1,94,0,1,16,7,2,3
