election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
K17,stat1995:1058001,statistical_area,stat1995:1058001,1995,1058001,1,loc:1058,1058,שדה ניצן,1,1,292,159,159,0,אמת,82,30,52,0.515723,82,0,0,0,2,0,0,10,0,6,1,0,30,0,4,3,12,0,0,3,0,0,0,0,0,0,0,2,0,2,2
K17,stat1995:1059001,statistical_area,stat1995:1059001,1995,1059001,1,loc:1059,1059,כסיפה,8,8,4510,1976,1889,87,עם,649,471,178,0.343568,211,1,471,0,162,0,1,2,2,5,2,2,252,1,5,40,7,1,649,2,0,2,1,1,7,5,2,5,5,3,42
K17,stat1995:1060001,statistical_area,stat1995:1060001,1995,1060001,1,loc:1060,1060,לקיה,5,5,3650,2402,2340,62,עם,1512,557,955,0.646154,33,0,557,0,122,1,1,2,0,2,0,2,66,2,1,3,4,1,1512,0,1,1,0,0,1,7,4,2,5,3,7
K17,stat1995:106001,statistical_area,stat1995:106001,1995,106001,1,loc:106,106,כפר גדעון,1,1,142,117,115,2,ג,36,29,7,0.313043,1,36,0,0,0,0,0,3,0,14,0,13,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29
K17,stat1995:1061001,statistical_area,stat1995:1061001,1995,1061001,1,loc:1061,1061,נצרת עילית,8,8,4669,2513,2418,95,ל,963,570,393,0.398263,253,6,56,2,76,2,2,45,9,30,8,19,570,1,963,219,27,0,11,12,6,2,2,0,0,5,6,30,1,19,36
K17,stat1995:1061002,statistical_area,stat1995:1061002,1995,1061002,2,loc:1061,1061,נצרת עילית,4,4,2571,1475,1417,58,ל,609,291,318,0.429781,116,5,33,0,35,2,0,36,5,25,6,12,291,0,609,154,11,2,1,3,3,1,0,2,1,1,2,16,1,10,34
K17,stat1995:1061004,statistical_area,stat1995:1061004,1995,1061004,4,loc:1061,1061,נצרת עילית,5,5,2917,1649,1590,59,ו,411,255,156,0.258491,181,7,242,1,411,4,0,31,3,19,0,13,245,0,255,83,31,1,13,4,1,1,3,0,0,1,1,6,3,3,27
K17,stat1995:1061005,statistical_area,stat1995:1061005,1995,1061005,5,loc:1061,1061,נצרת עילית,5,5,3740,1962,1906,56,ל,680,318,362,0.356768,208,13,50,2,100,3,1,79,4,63,2,9,318,2,680,201,15,1,4,7,5,5,2,1,5,9,6,15,3,4,89
K17,stat1995:1061006,statistical_area,stat1995:1061006,1995,1061006,6,loc:1061,1061,נצרת עילית,4,4,2367,957,923,34,ל,297,183,114,0.321777,127,7,44,0,47,10,13,19,1,8,3,11,183,1,297,77,8,1,18,2,0,1,1,0,0,4,2,9,0,6,23
K17,stat1995:1061007,statistical_area,stat1995:1061007,1995,1061007,7,loc:1061,1061,נצרת עילית,5,5,3128,1759,1691,68,ל,619,349,270,0.366056,191,6,43,0,65,3,0,52,4,34,3,12,349,2,619,178,14,1,6,6,1,3,1,3,0,6,6,19,1,10,53
K17,stat1995:1061008,statistical_area,stat1995:1061008,1995,1061008,8,loc:1061,1061,נצרת עילית,7,7,4284,2368,2303,65,כן,678,389,289,0.294399,371,21,20,0,38,3,71,115,6,85,5,41,678,1,389,275,24,0,1,11,1,3,2,1,1,2,11,28,2,23,74
K17,stat1995:1061009,statistical_area,stat1995:1061009,1995,1061009,9,loc:1061,1061,נצרת עילית,5,5,2756,1384,1343,41,ל,436,294,142,0.324646,167,9,18,0,23,2,9,69,2,30,3,30,294,0,436,147,10,2,4,3,3,0,1,1,2,8,3,14,2,4,47
