election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
K17,stat1995:139001,statistical_area,stat1995:139001,1995,139001,1,loc:139,139,עין שמר,1,1,584,421,413,8,מרצ,234,84,150,0.566586,84,0,0,0,0,0,1,2,1,2,0,3,63,0,2,0,234,0,0,1,0,0,0,0,0,0,0,15,0,5,0
K17,stat1995:140001,statistical_area,stat1995:140001,1995,140001,1,loc:140,140,כפר יהושע,1,1,533,427,424,3,אמת,166,139,27,0.391509,166,0,0,0,1,0,0,39,0,7,0,2,139,0,6,8,29,0,0,8,0,0,2,0,0,0,0,11,0,6,0
K17,stat1995:141001,statistical_area,stat1995:141001,1995,141001,1,loc:141,141,ברק,1,1,240,162,162,0,אמת,66,33,33,0.407407,66,0,0,0,0,0,0,5,0,10,0,1,33,0,6,18,4,0,0,6,0,0,1,0,0,0,0,6,0,1,5
K17,stat1995:142001,statistical_area,stat1995:142001,1995,142001,1,loc:142,142,שדה יעקב,1,1,341,285,284,1,טב,170,24,146,0.598592,16,2,0,0,0,0,1,11,0,170,0,5,24,0,8,13,10,0,0,9,0,0,0,0,0,0,0,3,0,9,3
K17,stat1995:143001,statistical_area,stat1995:143001,1995,143001,1,loc:143,143,בית זרע,1,1,582,401,393,8,מרצ,157,106,51,0.399491,106,1,0,1,0,0,0,14,1,2,1,1,65,0,13,2,157,0,0,7,0,0,0,0,0,0,0,10,0,12,0
K17,stat1995:144001,statistical_area,stat1995:144001,1995,144001,1,loc:144,144,גן שלמה,1,1,357,271,270,1,אמת,111,74,37,0.411111,111,0,0,0,0,0,0,15,0,1,2,0,74,0,1,2,30,0,0,2,0,0,0,0,0,0,0,4,0,27,1
K17,stat1995:145001,statistical_area,stat1995:145001,1995,145001,1,loc:145,145,גדיש,1,1,269,162,158,4,מחל,45,43,2,0.28481,15,3,0,0,0,0,0,4,0,12,0,2,26,0,4,45,0,0,0,1,0,0,2,0,0,0,1,0,0,0,43
K17,stat1995:146001,statistical_area,stat1995:146001,1995,146001,1,loc:146,146,דבורה,1,1,219,144,142,2,אמת,49,43,6,0.34507,49,0,0,0,0,0,0,13,0,3,0,1,43,0,7,12,5,0,0,2,0,0,0,0,0,0,1,3,0,0,3
K17,stat1995:147001,statistical_area,stat1995:147001,1995,147001,1,loc:147,147,גבעת ברנר,2,2,1262,829,820,9,אמת,420,163,257,0.512195,420,2,0,0,1,0,0,28,2,5,1,3,163,0,17,14,111,0,0,7,0,0,1,0,1,0,0,24,0,19,1
K17,stat1995:15001,statistical_area,stat1995:15001,1995,15001,1,loc:15,15,נועם,1,1,320,189,188,1,שס,71,37,34,0.37766,17,6,0,0,0,0,0,3,0,25,0,0,18,0,9,37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,71
K17,stat1995:154001,statistical_area,stat1995:154001,1995,154001,1,loc:154,154,תל מונד,9,9,5800,4004,3965,39,כן,1414,828,586,0.35662,828,17,0,1,1,1,3,274,28,188,3,20,1414,2,139,364,196,2,1,56,0,1,1,0,2,2,0,39,0,80,302
K17,stat1995:155001,statistical_area,stat1995:155001,1995,155001,1,loc:155,155,באר טוביה,1,1,550,429,426,3,אמת,160,146,14,0.375587,160,0,0,0,0,0,0,31,2,3,0,1,146,2,16,14,29,0,0,6,0,0,0,0,0,0,0,10,0,6,0
K17,stat1995:156001,statistical_area,stat1995:156001,1995,156001,1,loc:156,156,עיינות,1,1,54,33,32,1,אמת,16,6,10,0.5,16,0,0,0,0,0,0,3,1,1,0,0,6,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
K17,stat1995:157001,statistical_area,stat1995:157001,1995,157001,1,loc:157,157,עין ורד,1,1,712,566,565,1,אמת,206,204,2,0.364602,206,0,0,0,0,0,0,36,4,9,0,0,204,0,12,21,39,2,0,9,0,0,0,0,1,0,0,6,0,16,0
K17,stat1995:158001,statistical_area,stat1995:158001,1995,158001,1,loc:158,158,נען,2,2,1078,778,774,4,אמת,395,185,210,0.510336,395,0,0,0,1,0,0,47,1,7,2,1,185,1,11,3,71,0,0,14,0,0,1,0,0,0,1,16,0,15,2
K17,stat1995:159001,statistical_area,stat1995:159001,1995,159001,1,loc:159,159,בית חנן,1,1,436,328,326,2,כן,127,88,39,0.389571,88,0,0,0,0,0,0,44,2,4,0,0,127,0,4,13,20,0,0,9,0,0,0,0,0,0,0,8,0,5,2
K17,stat1995:160001,statistical_area,stat1995:160001,1995,160001,1,loc:160,160,חולדה,1,1,277,193,192,1,אמת,81,50,31,0.421875,81,0,0,0,0,1,1,18,0,2,0,0,50,0,2,2,16,0,0,0,0,0,0,0,0,0,0,10,0,5,4
K17,stat1995:16001,statistical_area,stat1995:16001,1995,16001,1,loc:16,16,בית ניר,1,1,224,169,169,0,מרצ,76,44,32,0.449704,44,0,0,0,0,0,0,5,0,1,0,0,35,0,0,0,76,0,0,0,0,0,0,0,0,0,0,5,0,2,1
K17,stat1995:162001,statistical_area,stat1995:162001,1995,162001,1,loc:162,162,חרות,1,1,697,578,578,0,כן,212,200,12,0.366782,200,0,0,0,2,0,0,50,2,3,0,0,212,0,8,10,54,0,0,12,0,0,0,0,0,1,0,12,0,11,1
K17,stat1995:163001,statistical_area,stat1995:163001,1995,163001,1,loc:163,163,תימורים,1,1,457,334,333,1,כן,148,107,41,0.444444,107,0,0,0,0,0,0,11,1,4,0,0,148,0,1,9,29,0,0,5,0,0,0,0,0,0,1,3,0,11,3
K17,stat1995:164001,statistical_area,stat1995:164001,1995,164001,1,loc:164,164,מלאה,1,1,225,164,160,4,מחל,40,37,3,0.25,30,1,0,0,0,0,0,1,2,9,0,0,31,0,6,40,0,0,0,1,0,0,0,0,0,0,1,1,0,0,37
K17,stat1995:165001,statistical_area,stat1995:165001,1995,165001,1,loc:165,165,ניר יפה,1,1,316,212,210,2,כן,69,65,4,0.328571,65,0,0,0,0,0,0,29,1,2,0,1,69,0,6,9,3,0,0,2,1,0,1,0,0,0,1,6,0,11,3
K17,stat1995:166001,statistical_area,stat1995:166001,1995,166001,1,loc:166,166,גן יבנה,12,12,9107,5988,5941,47,כן,1608,1097,511,0.270662,1097,140,1,1,0,7,35,434,14,496,9,20,1608,5,357,781,155,4,1,21,2,3,6,0,1,0,4,96,0,100,543
K17,stat1995:167001,statistical_area,stat1995:167001,1995,167001,1,loc:167,167,עין החורש,1,1,636,488,484,4,מרצ,210,153,57,0.433884,153,1,1,0,2,0,0,8,0,3,0,0,73,0,2,5,210,0,0,1,0,0,0,0,0,0,0,9,0,16,0
K17,stat1995:168001,statistical_area,stat1995:168001,1995,168001,1,loc:168,168,כפר יונה,15,15,8927,5644,5549,95,כן,1745,954,791,0.314471,954,48,2,1,3,1,31,474,13,328,10,39,1745,3,285,607,172,4,4,39,0,0,11,1,1,3,2,59,1,111,597
K17,stat1995:170001,statistical_area,stat1995:170001,1995,170001,1,loc:170,170,כפר יעבץ,1,1,420,287,284,3,טב,96,45,51,0.338028,16,6,0,0,0,0,0,12,0,96,0,1,31,0,15,38,2,0,0,5,0,0,0,0,0,0,0,9,0,8,45
K17,stat1995:171001,statistical_area,stat1995:171001,1995,171001,1,loc:171,171,פרדסיה,7,7,4075,2920,2899,21,כן,1057,636,421,0.364608,636,6,0,0,2,1,3,258,14,102,3,5,1057,0,94,208,135,1,2,25,0,4,1,1,0,0,3,50,0,59,229
K17,stat1995:173001,statistical_area,stat1995:173001,1995,173001,1,loc:173,173,(גבעת חיים (מאוחד,1,1,841,610,605,5,אמת,337,117,220,0.557025,337,0,0,1,1,0,1,15,3,8,0,2,117,0,10,6,67,1,0,3,0,0,0,0,0,0,1,9,0,18,5
K17,stat1995:174001,statistical_area,stat1995:174001,1995,174001,1,loc:174,174,נטעים,1,1,338,259,258,1,כן,94,76,18,0.364341,76,1,0,0,0,0,0,29,0,7,0,0,94,0,4,11,24,0,0,5,0,0,0,0,0,0,0,1,0,3,3
K17,stat1995:175001,statistical_area,stat1995:175001,1995,175001,1,loc:175,175,אביחיל,1,1,829,606,601,5,כן,232,164,68,0.386023,164,0,0,0,2,0,0,44,2,14,0,1,232,0,12,21,68,0,0,3,0,0,0,0,0,0,0,12,0,19,7
K17,stat1995:176001,statistical_area,stat1995:176001,1995,176001,1,loc:176,176,אפיקים,2,2,1000,682,678,4,אמת,455,85,370,0.671091,455,0,0,0,0,0,0,25,1,5,1,0,85,4,10,4,47,0,0,8,0,0,1,0,1,0,0,11,0,19,1
K17,stat1995:177001,statistical_area,stat1995:177001,1995,177001,1,loc:177,177,"כפר ביל""ו",1,1,703,540,537,3,אמת,208,174,34,0.387337,208,1,0,0,2,0,0,38,1,8,0,1,174,0,17,23,38,0,0,10,0,0,0,0,0,0,0,5,0,9,2
K17,stat1995:178001,statistical_area,stat1995:178001,1995,178001,1,loc:178,178,רמת יוחנן,1,1,636,421,418,3,אמת,236,102,134,0.564593,236,1,0,0,0,0,0,6,0,5,0,0,102,0,7,3,25,0,0,11,0,0,1,0,0,0,0,8,0,12,1
K17,stat1995:18001,statistical_area,stat1995:18001,1995,18001,1,loc:18,18,שדה משה,1,1,284,199,199,0,כן,68,53,15,0.341709,53,1,1,0,0,0,0,17,1,2,0,0,68,0,12,15,13,0,0,4,0,0,1,0,0,0,0,4,0,4,3
K17,stat1995:182001,statistical_area,stat1995:182001,1995,182001,1,loc:182,182,אבן יהודה,11,11,6854,4806,4760,46,כן,1677,938,739,0.352311,938,36,1,0,4,1,6,389,22,235,8,23,1677,4,123,413,343,1,1,64,2,1,4,0,2,4,2,84,0,128,244
K17,stat1995:183001,statistical_area,stat1995:183001,1995,183001,1,loc:183,183,ירקונה,1,1,204,160,158,2,כן,56,52,4,0.35443,52,0,0,0,1,0,0,13,1,1,0,0,56,0,4,6,17,0,0,1,0,0,0,0,0,0,0,2,0,4,0
K17,stat1995:184001,statistical_area,stat1995:184001,1995,184001,1,loc:184,184,רמת הכובש,1,1,563,418,415,3,אמת,179,123,56,0.431325,179,0,0,0,1,0,0,19,1,2,0,0,123,0,9,8,51,0,0,5,0,0,1,0,0,1,0,9,0,5,1
K17,stat1995:186001,statistical_area,stat1995:186001,1995,186001,1,loc:186,186,נעורים,1,1,123,52,52,0,כן,23,11,12,0.442308,11,0,0,0,0,0,0,6,0,1,0,0,23,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,4
K17,stat1995:187001,statistical_area,stat1995:187001,1995,187001,1,loc:187,187,כפר הס,1,1,735,563,561,2,כן,250,161,89,0.445633,161,0,0,0,3,0,0,30,0,4,1,0,250,0,8,14,52,0,0,15,0,0,0,0,0,1,0,4,0,18,0
K17,stat1995:188001,statistical_area,stat1995:188001,1995,188001,1,loc:188,188,(אשדות יעקב (מאוחד,1,1,382,238,236,2,אמת,128,46,82,0.542373,128,0,0,0,0,0,0,14,0,2,0,0,46,0,6,6,5,0,0,5,0,0,1,0,0,1,0,5,0,11,6
K17,stat1995:189001,statistical_area,stat1995:189001,1995,189001,1,loc:189,189,כפר פינס,1,1,287,236,234,2,טב,172,15,157,0.735043,1,4,0,0,0,0,0,10,0,172,0,4,9,0,8,15,0,0,0,3,0,0,0,0,0,0,0,1,0,0,7
K17,stat1995:190001,statistical_area,stat1995:190001,1995,190001,1,loc:190,190,כפר ויתקין,2,2,1140,884,881,3,כן,315,306,9,0.357548,306,1,0,0,2,0,0,65,2,4,1,0,315,0,13,18,78,0,0,16,0,0,0,0,1,2,0,10,0,42,5
K17,stat1995:191001,statistical_area,stat1995:191001,1995,191001,1,loc:191,191,הדר עם,1,1,364,285,284,1,כן,121,76,45,0.426056,76,0,0,0,0,0,0,13,0,4,0,1,121,0,6,9,36,0,0,4,0,0,0,0,0,0,0,4,0,9,1
K17,stat1995:192001,statistical_area,stat1995:192001,1995,192001,1,loc:192,192,כפר החורש,1,1,380,277,272,5,אמת,138,67,71,0.507353,138,0,0,0,0,0,0,5,0,3,0,1,67,0,8,2,28,0,0,3,0,0,0,0,0,1,0,9,0,5,2
K17,stat1995:193001,statistical_area,stat1995:193001,1995,193001,1,loc:193,193,כפר חיים,1,1,390,296,296,0,אמת,113,92,21,0.381757,113,1,0,1,1,0,0,16,0,0,0,1,92,0,8,10,18,0,0,10,0,2,0,0,0,0,0,8,0,10,5
K17,stat1995:194001,statistical_area,stat1995:194001,1995,194001,1,loc:194,194,משמר השרון,1,1,434,291,291,0,אמת,168,63,105,0.57732,168,0,0,0,0,0,1,11,1,0,0,1,63,0,8,2,16,0,0,1,0,0,0,0,0,0,0,6,0,13,0
K17,stat1995:195001,statistical_area,stat1995:195001,1995,195001,1,loc:195,195,קדימה,15,15,9826,6878,6793,85,כן,2304,1259,1045,0.339173,1259,32,1,0,3,2,2,456,47,338,9,26,2304,4,481,545,359,0,1,55,0,2,10,0,2,4,5,83,2,148,613
K17,stat1995:196001,statistical_area,stat1995:196001,1995,196001,1,loc:196,196,גיבתון,1,1,224,165,165,0,אמת,55,37,18,0.333333,55,0,0,0,1,0,0,16,2,6,0,0,37,0,6,11,19,0,0,3,0,0,0,0,0,0,0,4,0,5,0
K17,stat1995:197001,statistical_area,stat1995:197001,1995,197001,1,loc:197,197,מעברות,1,1,690,524,521,3,מרצ,243,134,109,0.466411,134,0,0,0,2,0,0,7,0,5,0,0,89,0,1,6,243,0,0,4,0,0,0,0,0,0,0,9,0,19,2
K17,stat1995:198001,statistical_area,stat1995:198001,1995,198001,1,loc:198,198,צופית,1,1,617,479,475,4,כן,160,157,3,0.336842,157,0,0,0,0,0,0,30,3,3,0,0,160,0,18,16,53,0,0,5,0,0,1,0,0,0,0,9,0,18,2
K17,stat1995:199001,statistical_area,stat1995:199001,1995,199001,1,loc:199,199,(אשדות יעקב (איחוד,1,1,437,294,292,2,אמת,133,83,50,0.455479,133,1,0,0,0,0,0,19,0,5,0,0,83,0,11,4,19,0,0,6,0,0,0,0,0,0,0,4,0,6,1
K17,stat1995:200001,statistical_area,stat1995:200001,1995,200001,1,loc:200,200,בית ינאי,1,1,291,197,194,3,כן,73,63,10,0.376289,63,0,0,0,0,0,0,9,2,1,0,0,73,0,3,4,15,0,0,2,0,0,0,0,0,0,0,5,0,14,3
K17,stat1995:2002001,statistical_area,stat1995:2002001,1995,2002001,1,loc:2002,2002,תנובות,1,1,458,330,326,4,אמת,127,64,63,0.389571,127,2,0,0,0,0,0,14,0,22,0,2,64,0,11,36,10,0,1,2,0,0,0,0,0,0,0,11,0,4,20
K17,stat1995:2003001,statistical_area,stat1995:2003001,1995,2003001,1,loc:2003,2003,תלמי אלעזר,1,1,419,303,302,1,כן,99,59,40,0.327815,59,0,0,0,0,0,0,33,0,8,0,0,99,0,22,43,19,0,0,3,0,0,0,0,0,0,0,3,0,10,3
K17,stat1995:2008001,statistical_area,stat1995:2008001,1995,2008001,1,loc:2008,2008,שדה יצחק,1,1,304,189,187,2,כן,75,42,33,0.40107,42,0,0,0,0,0,0,14,0,1,1,0,75,0,6,8,12,0,0,3,0,0,0,0,0,0,0,6,0,16,3
K17,stat1995:2009001,statistical_area,stat1995:2009001,1995,2009001,1,loc:2009,2009,יובל,1,1,310,204,202,2,אמת,55,51,4,0.272277,55,1,0,0,1,0,0,13,0,10,0,2,51,0,8,32,5,0,0,4,0,1,0,0,0,0,0,0,0,6,13
K17,stat1995:2010001,statistical_area,stat1995:2010001,1995,2010001,1,loc:2010,2010,כפר בן נון,1,1,317,213,213,0,כן,70,35,35,0.328638,35,0,0,0,1,0,0,22,0,2,0,1,70,0,17,19,24,1,0,7,0,0,0,0,0,0,0,2,1,11,0
K17,stat1995:2011001,statistical_area,stat1995:2011001,1995,2011001,1,loc:2011,2011,ינון,1,1,591,373,368,5,אמת,103,77,26,0.279891,103,0,0,0,0,0,0,10,0,36,0,5,52,0,7,69,2,0,1,0,0,0,0,0,0,0,0,2,0,4,77
K17,stat1995:2012001,statistical_area,stat1995:2012001,1995,2012001,1,loc:2012,2012,אורות,1,1,304,209,209,0,אמת,73,63,10,0.349282,73,0,0,0,0,0,0,17,0,2,0,1,63,0,7,9,19,0,0,4,0,0,0,0,0,0,0,11,0,3,0
K17,stat1995:2013001,statistical_area,stat1995:2013001,1995,2013001,1,loc:2013,2013,(בן שמן(מושב,1,1,429,325,323,2,כן,127,68,59,0.393189,68,0,0,0,1,0,0,26,1,6,0,0,127,0,15,30,23,1,0,3,0,0,0,0,0,0,0,7,0,13,2
K17,stat1995:2014001,statistical_area,stat1995:2014001,1995,2014001,1,loc:2014,2014,גבעולים,1,1,217,140,139,1,שס,55,30,25,0.395683,26,1,0,0,0,0,0,4,0,5,0,0,14,0,3,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55
K17,stat1995:2015001,statistical_area,stat1995:2015001,1995,2015001,1,loc:2015,2015,שדי חמד,1,1,494,351,345,6,כן,138,71,67,0.4,71,1,0,0,0,0,0,30,1,4,1,2,138,0,15,18,37,0,0,10,0,0,0,0,0,0,0,8,0,5,4
K17,stat1995:2016001,statistical_area,stat1995:2016001,1995,2016001,1,loc:2016,2016,רוויה,1,1,186,109,109,0,שס,42,25,17,0.385321,25,0,0,0,0,0,0,1,0,8,0,1,8,0,3,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42
K17,stat1995:2018001,statistical_area,stat1995:2018001,1995,2018001,1,loc:2018,2018,(גבעת חיים (איחוד,1,1,797,551,549,2,אמת,310,106,204,0.564663,310,2,0,0,1,1,0,16,0,2,0,0,106,0,9,0,66,0,0,9,0,0,0,0,0,0,0,10,0,17,0
K17,stat1995:202001,statistical_area,stat1995:202001,1995,202001,1,loc:202,202,בית עובד,1,1,260,209,209,0,כן,72,67,5,0.344498,67,0,0,0,0,0,0,15,3,2,0,0,72,0,5,14,25,0,0,1,0,0,0,0,0,0,0,2,0,3,0
K17,stat1995:2023001,statistical_area,stat1995:2023001,1995,2023001,1,loc:2023,2023,להב,1,1,391,270,267,3,מרצ,126,79,47,0.47191,79,0,0,0,0,0,0,5,0,1,0,0,40,0,2,2,126,0,0,0,0,0,0,0,0,0,0,6,0,5,1
K17,stat1995:2024001,statistical_area,stat1995:2024001,1995,2024001,1,loc:2024,2024,אום אל-קוטוף,1,1,469,229,226,3,ד,75,43,32,0.331858,43,0,75,0,33,0,0,0,0,2,0,0,3,0,0,1,32,0,33,0,0,0,0,0,0,4,0,0,0,0,0
K17,stat1995:2026001,statistical_area,stat1995:2026001,1995,2026001,1,loc:2026,2026,ירדנה,1,1,283,180,180,0,אמת,70,29,41,0.388889,70,0,0,0,0,0,0,2,0,29,1,0,25,0,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
K17,stat1995:2029001,statistical_area,stat1995:2029001,1995,2029001,1,loc:2029,2029,מדרך עוז,1,1,382,261,261,0,כן,69,38,31,0.264368,27,21,0,0,0,0,0,18,2,34,0,0,69,0,5,38,1,0,1,0,0,1,0,0,0,2,0,4,0,1,37
K17,stat1995:2030001,statistical_area,stat1995:2030001,1995,2030001,1,loc:2030,2030,מנוחה,1,1,270,149,147,2,שס,35,34,1,0.238095,15,0,0,0,0,0,0,1,0,24,0,0,28,0,9,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35
K17,stat1995:2033001,statistical_area,stat1995:2033001,1995,2033001,1,loc:2033,2033,בית חלקיה,1,1,244,208,204,4,ג,176,12,164,0.862745,0,176,0,0,0,0,0,0,0,12,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
K17,stat1995:2034001,statistical_area,stat1995:2034001,1995,2034001,1,loc:2034,2034,חצור הגלילית,9,9,6184,3855,3794,61,שס,685,659,26,0.180548,503,577,1,0,0,1,0,49,1,314,2,25,329,1,659,577,10,6,4,2,0,2,2,0,0,0,1,29,1,13,685
K17,stat1995:2035001,statistical_area,stat1995:2035001,1995,2035001,1,loc:2035,2035,עדנים,1,1,271,216,213,3,כן,86,36,50,0.403756,36,0,0,0,0,0,0,22,0,2,0,0,86,0,12,21,19,0,0,3,0,0,0,0,0,0,0,7,0,4,1
K17,stat1995:2038001,statistical_area,stat1995:2038001,1995,2038001,1,loc:2038,2038,ברקת,1,1,637,519,516,3,שס,199,166,33,0.385659,3,3,0,0,0,0,0,1,0,166,0,88,5,0,9,38,0,2,0,0,0,0,0,0,0,0,0,0,0,2,199
K17,stat1995:204001,statistical_area,stat1995:204001,1995,204001,1,loc:204,204,אלישיב,1,1,358,274,272,2,שס,94,52,42,0.345588,23,1,0,0,0,1,0,7,0,33,0,0,52,0,3,41,1,1,0,3,0,1,1,0,1,0,0,5,0,4,94
K17,stat1995:2042001,statistical_area,stat1995:2042001,1995,2042001,1,loc:2042,2042,עין גדי,1,1,467,297,296,1,אמת,152,80,72,0.513514,152,0,0,0,0,0,0,12,1,1,0,0,80,0,4,0,23,0,0,3,0,0,0,0,0,0,0,4,0,11,5
K17,stat1995:2043001,statistical_area,stat1995:2043001,1995,2043001,1,loc:2043,2043,בחן,1,1,247,172,171,1,אמת,83,34,49,0.48538,83,0,0,1,0,0,0,9,1,1,0,0,34,0,4,3,14,0,0,2,0,0,0,0,0,0,0,13,0,5,1
K17,stat1995:2044001,statistical_area,stat1995:2044001,1995,2044001,1,loc:2044,2044,מלילות,1,1,192,120,120,0,מחל,28,23,5,0.233333,9,3,0,0,0,0,0,5,0,18,0,3,19,0,8,28,0,0,0,0,2,0,0,0,0,1,1,0,0,0,23
K17,stat1995:2045001,statistical_area,stat1995:2045001,1995,2045001,1,loc:2045,2045,נחלה,1,1,294,203,203,0,שס,60,41,19,0.295567,28,6,0,0,0,0,0,11,0,41,1,0,18,0,12,20,2,0,0,1,0,0,0,0,0,1,0,2,0,0,60
K17,stat1995:2046001,statistical_area,stat1995:2046001,1995,2046001,1,loc:2046,2046,סגולה,1,1,292,199,197,2,כן,71,69,2,0.360406,69,0,0,0,0,0,0,8,4,5,0,0,71,0,1,17,9,0,0,2,0,0,0,0,0,1,0,4,0,3,3
K17,stat1995:2047001,statistical_area,stat1995:2047001,1995,2047001,1,loc:2047,2047,ניר משה,1,1,274,175,175,0,אמת,56,56,0,0.32,56,0,0,0,1,0,0,17,0,3,0,0,56,0,3,18,11,0,0,1,0,0,0,0,0,0,0,1,0,2,6
K17,stat1995:2048001,statistical_area,stat1995:2048001,1995,2048001,1,loc:2048,2048,ניר עקיבא,1,1,196,134,134,0,אמת,40,22,18,0.298507,40,0,0,0,0,0,0,22,0,5,1,0,21,0,8,10,3,0,0,1,0,0,1,0,0,0,0,3,0,2,17
K17,stat1995:2049001,statistical_area,stat1995:2049001,1995,2049001,1,loc:2049,2049,שדה צבי,1,1,189,114,111,3,שס,33,23,10,0.297297,22,0,0,0,0,0,0,1,0,2,0,1,23,0,5,17,3,0,0,0,0,0,0,0,0,0,0,4,0,0,33
K17,stat1995:2050001,statistical_area,stat1995:2050001,1995,2050001,1,loc:2050,2050,"תלמי ביל""ו",1,1,251,155,153,2,אמת,40,28,12,0.261438,40,1,0,0,0,0,0,3,0,13,0,1,26,0,8,28,1,1,0,0,0,0,0,0,0,0,0,2,0,1,28
K17,stat1995:205001,statistical_area,stat1995:205001,1995,205001,1,loc:205,205,חגלה,1,1,361,304,304,0,אמת,114,76,38,0.375,114,0,0,0,1,0,0,23,2,8,0,0,76,0,12,3,35,0,0,6,0,0,1,0,0,0,0,5,0,18,0
K17,stat1995:2051001,statistical_area,stat1995:2051001,1995,2051001,1,loc:2051,2051,רווחה,1,1,335,207,205,2,שס,69,50,19,0.336585,14,15,0,0,0,0,0,4,0,50,0,3,10,0,6,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69
K17,stat1995:2052001,statistical_area,stat1995:2052001,1995,2052001,1,loc:2052,2052,אביטל,1,1,369,244,240,4,מחל,67,49,18,0.279167,27,0,0,0,1,0,0,4,0,36,0,16,49,0,16,67,0,0,0,2,0,0,1,0,0,0,0,3,0,1,17
K17,stat1995:2053001,statistical_area,stat1995:2053001,1995,2053001,1,loc:2053,2053,פרזון,1,1,271,188,187,1,מחל,72,47,25,0.385027,16,0,0,0,0,0,0,4,0,8,0,8,47,0,19,72,1,1,2,0,0,0,0,0,0,0,0,1,0,1,7
K17,stat1995:2054001,statistical_area,stat1995:2054001,1995,2054001,1,loc:2054,2054,מיטב,1,1,313,207,203,4,כן,67,56,11,0.330049,12,1,0,1,0,0,0,6,0,12,0,9,67,0,22,56,3,0,0,0,0,0,0,0,0,0,0,0,0,3,11
K17,stat1995:2055001,statistical_area,stat1995:2055001,1995,2055001,1,loc:2055,2055,מאור,1,1,499,369,366,3,כן,115,60,55,0.314208,60,1,0,0,0,0,1,30,2,40,0,3,115,0,11,30,20,0,0,1,0,0,0,0,0,0,0,7,0,22,23
K17,stat1995:2057001,statistical_area,stat1995:2057001,1995,2057001,1,loc:2057,2057,שדי תרומות,1,1,324,151,148,3,מחל,40,34,6,0.27027,7,1,0,0,0,0,0,8,0,27,0,0,34,0,6,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24
K17,stat1995:2059001,statistical_area,stat1995:2059001,1995,2059001,1,loc:2059,2059,"פעמי תש""ז",1,1,250,160,160,0,שס,67,43,24,0.41875,43,0,0,0,0,0,0,2,0,6,0,0,10,0,4,25,1,0,0,0,0,1,0,0,0,0,0,1,0,0,67
K17,stat1995:2060001,statistical_area,stat1995:2060001,1995,2060001,1,loc:2060,2060,ברוש,1,1,180,125,125,0,אמת,68,19,49,0.544,68,0,0,0,0,0,0,1,0,3,0,0,9,0,6,17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,19
K17,stat1995:206001,statistical_area,stat1995:206001,1995,206001,1,loc:206,206,רמות השבים,1,1,824,614,610,4,כן,246,141,105,0.403279,141,4,0,0,0,0,1,33,8,7,0,0,246,1,9,17,93,0,0,12,0,0,0,0,0,0,0,8,0,26,4
K17,stat1995:2061001,statistical_area,stat1995:2061001,1995,2061001,1,loc:2061,2061,תדהר,1,1,177,126,125,1,אמת,62,33,29,0.496,62,0,0,0,0,0,0,0,0,2,0,0,33,0,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14
K17,stat1995:2062001,statistical_area,stat1995:2062001,1995,2062001,1,loc:2062,2062,תאשור,1,1,218,154,153,1,אמת,71,32,39,0.464052,71,1,1,0,1,0,0,3,0,4,0,0,32,0,11,4,10,0,0,3,0,0,0,0,0,0,0,1,0,4,7
K17,stat1995:2063001,statistical_area,stat1995:2063001,1995,2063001,1,loc:2063,2063,דישון,1,1,288,175,173,2,ל,42,37,5,0.242775,17,2,0,0,0,0,0,7,0,1,0,0,37,0,42,32,3,1,0,0,0,0,0,0,0,0,0,1,0,4,26
K17,stat1995:2064001,statistical_area,stat1995:2064001,1995,2064001,1,loc:2064,2064,זרועה,1,1,185,105,105,0,שס,37,23,14,0.352381,9,3,0,0,0,0,0,2,0,12,0,0,13,0,4,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37
K17,stat1995:207001,statistical_area,stat1995:207001,1995,207001,1,loc:207,207,"גבעת ח""ן",1,1,281,233,233,0,כן,98,59,39,0.420601,59,3,0,0,0,0,0,10,1,4,0,0,98,0,5,11,24,0,0,8,0,0,0,0,0,0,0,5,0,5,0
