election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס
K23,stat2011:82000014,statistical_area,stat2011:82000014,2011,82000014,14,loc:8200,8200,קריית מוצקין,3,3,1793,1243,1231,12,פה,602,356,246,0.489033,100,1,3,1,0,0,43,0,1,0,0,0,0,0,0,89,356,1,0,0,2,0,602,0,0,0,1,0,0,31
K23,stat2011:82000021,statistical_area,stat2011:82000021,2011,82000021,21,loc:8200,8200,קריית מוצקין,9,9,5175,3222,3194,28,מחל,1348,938,410,0.422041,112,18,3,1,0,0,87,0,0,0,1,1,0,1,2,589,1348,0,1,0,9,0,938,1,0,2,0,1,3,76
K23,stat2011:82000022,statistical_area,stat2011:82000022,2011,82000022,22,loc:8200,8200,קריית מוצקין,8,8,5156,2942,2915,27,מחל,1140,815,325,0.391081,94,8,4,6,1,0,73,1,0,0,1,1,0,2,0,645,1140,1,0,1,9,0,815,1,1,0,1,1,3,106
K23,stat2011:82000023,statistical_area,stat2011:82000023,2011,82000023,23,loc:8200,8200,קריית מוצקין,3,3,1727,1009,999,10,מחל,498,264,234,0.498498,44,7,0,0,0,0,34,0,0,0,0,0,0,0,0,83,498,1,0,0,3,0,264,0,1,0,0,0,2,62
K23,stat2011:82000031,statistical_area,stat2011:82000031,2011,82000031,31,loc:8200,8200,קריית מוצקין,3,3,1517,1058,1056,2,מחל,419,415,4,0.39678,41,13,0,0,0,0,61,0,0,0,0,0,1,0,0,44,419,1,0,1,5,0,415,0,0,0,0,0,0,55
K23,stat2011:82000032,statistical_area,stat2011:82000032,2011,82000032,32,loc:8200,8200,קריית מוצקין,3,3,1831,1136,1131,5,מחל,459,412,47,0.405836,51,9,2,0,0,0,63,1,0,0,0,0,0,0,0,90,459,2,1,0,2,0,412,2,0,0,0,0,0,37
K23,stat2011:82000033,statistical_area,stat2011:82000033,2011,82000033,33,loc:8200,8200,קריית מוצקין,5,5,2935,1815,1806,9,מחל,759,649,110,0.420266,88,10,4,0,0,0,52,0,0,1,0,0,0,0,0,174,759,1,0,0,8,0,649,1,3,0,0,0,1,55
K23,stat2011:82000034,statistical_area,stat2011:82000034,2011,82000034,34,loc:8200,8200,קריית מוצקין,6,6,3912,2538,2531,7,פה,1099,932,167,0.434216,134,15,3,0,0,0,113,0,1,0,0,0,0,0,0,164,932,4,4,1,6,0,1099,1,0,0,0,0,1,53
K23,stat2011:820001,statistical_area,stat2011:820001,2011,820001,1,loc:82,82,עין חרוד (מאוחד),1,1,684,496,496,0,פה,300,125,175,0.604839,125,4,0,0,0,0,16,0,0,0,0,0,0,0,0,11,35,1,0,0,3,0,300,0,0,1,0,0,0,0
K23,stat2011:8210001,statistical_area,stat2011:8210001,2011,8210001,1,loc:821,821,אחוזם,1,1,396,277,277,0,מחל,190,63,127,0.685921,4,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,190,0,0,0,2,0,11,0,0,0,0,0,0,63
K23,stat2011:8220001,statistical_area,stat2011:8220001,2011,8220001,1,loc:822,822,מטע,1,1,545,399,398,1,מחל,179,96,83,0.449749,74,3,7,1,0,0,25,0,0,0,0,0,0,0,0,6,179,0,0,0,0,0,96,0,0,0,0,0,0,7
K23,stat2011:8230001,statistical_area,stat2011:8230001,2011,8230001,1,loc:823,823,בר גיורא,1,1,412,311,310,1,מחל,182,48,134,0.587097,26,3,1,0,0,0,18,0,0,0,0,0,0,0,0,4,182,0,0,0,2,0,48,0,0,0,0,0,0,26
K23,stat2011:8240001,statistical_area,stat2011:8240001,2011,8240001,1,loc:824,824,כוכב מיכאל,1,1,701,519,514,5,פה,318,100,218,0.618677,70,0,0,0,1,0,14,0,0,0,0,0,0,0,0,7,100,0,0,0,1,0,318,0,0,0,0,0,0,3
K23,stat2011:8250001,statistical_area,stat2011:8250001,2011,8250001,1,loc:825,825,נס הרים,1,1,786,597,596,1,מחל,266,206,60,0.446309,46,7,4,0,0,0,33,0,0,0,0,0,0,0,0,9,266,0,0,0,1,0,206,0,0,0,0,0,0,24
K23,stat2011:8260001,statistical_area,stat2011:8260001,2011,8260001,1,loc:826,826,עוזה,1,1,366,289,288,1,מחל,146,93,53,0.506944,0,11,0,0,0,0,28,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,10,0,0,0,0,0,0,93
K23,stat2011:8270001,statistical_area,stat2011:8270001,2011,8270001,1,loc:827,827,נווה מבטח,1,1,454,358,358,0,פה,218,64,154,0.608939,51,3,1,0,0,0,12,0,0,0,0,0,0,0,0,5,64,0,0,0,0,0,218,0,0,0,0,0,0,4
K23,stat2011:8280001,statistical_area,stat2011:8280001,2011,8280001,1,loc:828,828,ישרש,1,1,727,520,520,0,מחל,279,150,129,0.536538,23,0,0,1,0,0,19,0,0,0,0,1,0,0,0,3,279,1,0,0,1,0,150,0,0,0,0,0,0,42
K23,stat2011:8290001,statistical_area,stat2011:8290001,2011,8290001,1,loc:829,829,מבטחים,1,1,389,240,240,0,מחל,136,40,96,0.566667,7,2,0,0,0,0,20,0,0,0,0,0,0,0,0,5,136,0,0,0,4,0,40,0,0,0,0,2,0,24
K23,stat2011:83000111,statistical_area,stat2011:83000111,2011,83000111,111,loc:8300,8300,ראשון לציון,1,1,521,332,328,4,ל,222,65,157,0.676829,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,222,65,0,0,1,0,0,31,0,0,2,0,0,0,0
K23,stat2011:83000112,statistical_area,stat2011:83000112,2011,83000112,112,loc:8300,8300,ראשון לציון,1,1,193,116,114,2,מחל,34,27,7,0.298246,19,0,0,0,0,0,3,0,1,0,0,0,2,0,0,27,34,0,0,0,0,0,27,0,0,0,0,0,0,1
K23,stat2011:83000113,statistical_area,stat2011:83000113,2011,83000113,113,loc:8300,8300,ראשון לציון,3,3,2152,1549,1541,8,פה,598,572,26,0.38806,67,6,1,1,0,0,44,0,0,0,0,0,0,0,1,193,572,4,0,0,3,0,598,0,0,0,0,1,0,50
K23,stat2011:83000114,statistical_area,stat2011:83000114,2011,83000114,114,loc:8300,8300,ראשון לציון,8,8,4432,2779,2762,17,מחל,1016,842,174,0.367849,171,22,6,3,0,0,50,0,0,0,0,0,0,0,2,525,1016,2,0,2,8,0,842,1,0,1,1,0,2,108
K23,stat2011:83000115,statistical_area,stat2011:83000115,2011,83000115,115,loc:8300,8300,ראשון לציון,9,9,5773,3480,3448,32,מחל,1388,875,513,0.402552,103,44,9,5,0,0,84,0,1,1,0,0,0,0,0,734,1388,2,1,0,8,1,875,3,0,2,0,1,2,184
K23,stat2011:83000116,statistical_area,stat2011:83000116,2011,83000116,116,loc:8300,8300,ראשון לציון,4,4,2283,1386,1371,15,מחל,519,373,146,0.378556,46,33,0,3,0,0,43,0,0,0,0,0,0,0,1,271,519,0,0,0,4,0,373,1,0,0,0,0,1,76
K23,stat2011:83000117,statistical_area,stat2011:83000117,2011,83000117,117,loc:8300,8300,ראשון לציון,8,8,4276,2435,2422,13,מחל,830,763,67,0.342692,121,22,4,4,0,0,62,0,0,0,1,0,0,0,1,514,830,2,0,0,5,1,763,0,0,0,0,0,0,92
K23,stat2011:83000121,statistical_area,stat2011:83000121,2011,83000121,121,loc:8300,8300,ראשון לציון,8,8,4478,2255,2245,10,מחל,776,768,8,0.345657,90,27,2,3,2,0,63,0,0,1,0,0,1,0,0,417,776,2,0,0,4,0,768,1,1,0,0,0,1,86
K23,stat2011:83000122,statistical_area,stat2011:83000122,2011,83000122,122,loc:8300,8300,ראשון לציון,6,6,3285,1885,1868,17,מחל,635,502,133,0.339936,80,59,2,5,0,0,75,0,0,0,0,0,0,0,0,350,635,1,0,0,10,0,502,0,2,4,0,0,0,143
K23,stat2011:83000123,statistical_area,stat2011:83000123,2011,83000123,123,loc:8300,8300,ראשון לציון,4,4,2622,1609,1606,3,מחל,701,439,262,0.436488,54,39,1,1,0,0,34,1,0,0,0,0,0,0,0,234,701,0,0,0,9,0,439,0,0,0,0,0,1,92
K23,stat2011:83000124,statistical_area,stat2011:83000124,2011,83000124,124,loc:8300,8300,ראשון לציון,4,4,2159,1441,1435,6,מחל,599,418,181,0.417422,42,29,3,1,0,0,34,0,0,0,0,0,0,0,0,243,599,2,1,0,2,0,418,0,0,2,0,0,0,59
K23,stat2011:83000125,statistical_area,stat2011:83000125,2011,83000125,125,loc:8300,8300,ראשון לציון,9,9,5239,3490,3474,16,מחל,1414,1099,315,0.407024,114,32,5,4,0,0,115,0,0,0,0,0,0,0,0,528,1414,1,0,0,6,0,1099,0,0,1,0,2,2,151
K23,stat2011:83000126,statistical_area,stat2011:83000126,2011,83000126,126,loc:8300,8300,ראשון לציון,11,11,6380,4586,4562,24,מחל,1800,1636,164,0.394564,176,83,3,3,0,0,152,1,0,0,0,0,1,0,2,437,1800,1,1,0,13,1,1636,1,0,2,0,2,0,247
K23,stat2011:83000211,statistical_area,stat2011:83000211,2011,83000211,211,loc:8300,8300,ראשון לציון,6,6,3946,2809,2792,17,מחל,1405,781,624,0.503223,89,26,5,6,0,0,99,0,0,0,0,0,0,0,1,131,1405,4,1,0,23,0,781,1,0,0,1,2,1,216
K23,stat2011:83000212,statistical_area,stat2011:83000212,2011,83000212,212,loc:8300,8300,ראשון לציון,9,9,6157,4379,4365,14,מחל,2506,802,1704,0.574112,119,75,1,3,0,0,182,0,0,0,0,0,0,0,1,125,2506,3,0,1,28,0,802,0,0,0,0,0,0,519
K23,stat2011:83000213,statistical_area,stat2011:83000213,2011,83000213,213,loc:8300,8300,ראשון לציון,5,5,3063,2236,2231,5,מחל,1067,723,344,0.478261,86,27,3,2,0,0,73,0,0,0,0,0,0,0,0,88,1067,0,0,0,14,0,723,0,0,0,1,0,1,146
K23,stat2011:83000214,statistical_area,stat2011:83000214,2011,83000214,214,loc:8300,8300,ראשון לציון,4,4,2650,1950,1944,6,פה,828,714,114,0.425926,119,8,1,0,0,0,65,0,0,0,0,0,0,0,0,142,714,3,1,0,5,0,828,1,0,0,0,0,0,57
K23,stat2011:83000215,statistical_area,stat2011:83000215,2011,83000215,215,loc:8300,8300,ראשון לציון,6,6,4102,3014,3006,8,פה,1493,963,530,0.496673,157,18,7,5,0,0,84,0,1,0,0,0,0,0,1,164,963,1,0,0,4,0,1493,0,0,2,0,1,0,105
K23,stat2011:83000221,statistical_area,stat2011:83000221,2011,83000221,221,loc:8300,8300,ראשון לציון,5,5,3236,2089,2080,9,מחל,797,681,116,0.383173,110,27,3,1,0,0,103,0,0,0,0,1,0,0,0,259,797,1,0,0,10,0,681,0,2,1,0,0,0,84
K23,stat2011:83000222,statistical_area,stat2011:83000222,2011,83000222,222,loc:8300,8300,ראשון לציון,9,9,5718,3769,3744,25,פה,1372,1283,89,0.366453,213,61,5,1,0,0,259,1,0,0,1,1,0,1,1,380,1283,3,0,0,20,0,1372,1,0,0,0,0,2,139
K23,stat2011:83000223,statistical_area,stat2011:83000223,2011,83000223,223,loc:8300,8300,ראשון לציון,4,4,2396,1794,1788,6,פה,797,635,162,0.445749,87,14,4,2,0,0,113,2,0,0,0,1,0,0,1,84,635,2,0,0,6,0,797,0,1,1,0,0,1,37
K23,stat2011:83000224,statistical_area,stat2011:83000224,2011,83000224,224,loc:8300,8300,ראשון לציון,4,4,2196,1429,1424,5,פה,629,420,209,0.441713,93,14,2,2,0,0,76,0,0,0,0,0,0,0,0,145,420,1,0,0,6,0,629,0,0,0,0,0,0,36
K23,stat2011:83000225,statistical_area,stat2011:83000225,2011,83000225,225,loc:8300,8300,ראשון לציון,3,3,1815,1168,1165,3,פה,472,388,84,0.40515,46,16,1,2,0,0,63,0,0,0,0,0,1,0,0,147,388,1,0,0,7,0,472,0,0,0,0,0,0,21
K23,stat2011:83000311,statistical_area,stat2011:83000311,2011,83000311,311,loc:8300,8300,ראשון לציון,10,10,6508,4894,4873,21,מחל,2193,1847,346,0.450031,169,26,4,1,0,0,135,1,0,0,0,0,0,1,0,197,2193,5,0,0,7,0,1847,0,2,0,0,2,0,283
K23,stat2011:83000312,statistical_area,stat2011:83000312,2011,83000312,312,loc:8300,8300,ראשון לציון,5,5,3013,1924,1918,6,פה,826,619,207,0.430657,122,10,4,2,0,0,56,0,0,0,0,0,1,0,0,209,619,1,0,0,2,0,826,1,1,0,0,0,0,64
K23,stat2011:83000313,statistical_area,stat2011:83000313,2011,83000313,313,loc:8300,8300,ראשון לציון,8,8,4409,2608,2600,8,פה,1098,822,276,0.422308,138,14,7,3,0,0,64,0,1,0,0,1,0,0,0,372,822,3,0,0,6,0,1098,2,0,0,0,1,0,68
K23,stat2011:83000314,statistical_area,stat2011:83000314,2011,83000314,314,loc:8300,8300,ראשון לציון,7,7,3966,2079,2072,7,פה,832,668,164,0.401544,113,19,2,1,0,0,55,0,0,0,0,0,0,0,0,326,668,1,0,0,1,0,832,0,0,1,0,0,0,53
K23,stat2011:83000315,statistical_area,stat2011:83000315,2011,83000315,315,loc:8300,8300,ראשון לציון,5,5,3504,1770,1761,9,מחל,648,637,11,0.367973,81,10,0,0,0,0,40,0,1,0,0,0,0,0,2,298,648,0,0,0,2,0,637,0,1,1,0,0,1,39
K23,stat2011:83000411,statistical_area,stat2011:83000411,2011,83000411,411,loc:8300,8300,ראשון לציון,2,2,1241,935,934,1,פה,467,326,141,0.5,48,3,1,0,0,0,23,0,0,0,0,0,0,0,0,39,326,4,0,0,0,0,467,0,0,0,0,0,0,23
K23,stat2011:83000412,statistical_area,stat2011:83000412,2011,83000412,412,loc:8300,8300,ראשון לציון,8,8,4835,3364,3356,8,פה,1812,898,914,0.539928,274,20,10,1,0,0,84,0,1,0,0,0,0,1,0,206,898,1,0,0,7,0,1812,0,0,0,0,0,1,40
K23,stat2011:83000413,statistical_area,stat2011:83000413,2011,83000413,413,loc:8300,8300,ראשון לציון,7,7,4175,2623,2612,11,פה,1188,791,397,0.454824,153,17,6,1,0,0,75,0,0,0,0,1,0,0,0,311,791,0,1,0,12,1,1188,0,0,1,0,0,1,53
K23,stat2011:83000421,statistical_area,stat2011:83000421,2011,83000421,421,loc:8300,8300,ראשון לציון,3,3,1883,1069,1065,4,פה,476,342,134,0.446948,66,6,6,0,0,0,24,0,0,0,0,0,0,0,0,123,342,1,0,0,1,0,476,1,0,0,0,0,1,18
K23,stat2011:83000422,statistical_area,stat2011:83000422,2011,83000422,422,loc:8300,8300,ראשון לציון,4,4,2649,1666,1657,9,פה,784,471,313,0.473144,104,12,6,0,0,0,52,0,0,0,0,0,0,1,0,198,471,0,0,0,2,0,784,0,0,1,0,0,0,26
K23,stat2011:83000423,statistical_area,stat2011:83000423,2011,83000423,423,loc:8300,8300,ראשון לציון,9,9,5799,3634,3623,11,פה,1667,1137,530,0.460116,236,7,8,4,0,0,97,3,1,0,0,0,0,0,2,367,1137,5,2,0,15,1,1667,0,0,2,0,0,0,69
K23,stat2011:83000424,statistical_area,stat2011:83000424,2011,83000424,424,loc:8300,8300,ראשון לציון,5,5,3144,2295,2291,4,פה,1182,678,504,0.515932,176,10,2,1,0,0,72,0,0,0,0,0,0,0,1,108,678,0,0,0,4,0,1182,1,1,1,0,0,1,53
K23,stat2011:83000425,statistical_area,stat2011:83000425,2011,83000425,425,loc:8300,8300,ראשון לציון,5,5,2943,1793,1780,13,פה,757,524,233,0.425281,90,12,3,3,0,0,45,0,0,0,0,1,1,0,0,281,524,0,1,0,6,0,757,1,2,0,0,0,0,53
K23,stat2011:83000426,statistical_area,stat2011:83000426,2011,83000426,426,loc:8300,8300,ראשון לציון,7,7,3969,2517,2511,6,פה,1142,759,383,0.454799,152,9,2,3,0,0,95,0,0,0,0,0,0,1,0,291,759,3,0,0,4,0,1142,0,0,0,0,0,2,48
K23,stat2011:83000511,statistical_area,stat2011:83000511,2011,83000511,511,loc:8300,8300,ראשון לציון,7,7,4399,2412,2388,24,מחל,1413,361,1052,0.591709,69,17,3,0,0,0,87,0,0,0,0,0,0,1,2,174,1413,0,0,2,5,0,361,0,1,0,2,1,1,249
K23,stat2011:83000512,statistical_area,stat2011:83000512,2011,83000512,512,loc:8300,8300,ראשון לציון,6,6,3308,2006,1995,11,מחל,1180,320,860,0.591479,64,20,0,2,0,0,64,0,0,0,0,0,0,0,1,121,1180,1,0,0,13,0,320,2,0,0,0,1,1,205
K23,stat2011:83000513,statistical_area,stat2011:83000513,2011,83000513,513,loc:8300,8300,ראשון לציון,5,5,2791,1607,1586,21,מחל,900,296,604,0.567465,33,12,1,0,0,0,47,0,0,0,0,0,0,0,1,161,900,1,0,0,7,1,296,0,0,0,0,0,1,125
K23,stat2011:83000514,statistical_area,stat2011:83000514,2011,83000514,514,loc:8300,8300,ראשון לציון,10,10,6127,4541,4528,13,פה,1900,1876,24,0.419611,172,21,4,1,0,0,160,0,0,0,1,0,0,0,0,184,1876,3,0,0,16,0,1900,5,0,0,0,0,0,185
K23,stat2011:83000515,statistical_area,stat2011:83000515,2011,83000515,515,loc:8300,8300,ראשון לציון,1,1,636,472,470,2,פה,249,145,104,0.529787,46,0,1,1,0,0,12,0,0,0,0,0,0,1,0,9,145,0,0,0,0,0,249,0,1,0,0,0,0,5
K23,stat2011:83000516,statistical_area,stat2011:83000516,2011,83000516,516,loc:8300,8300,ראשון לציון,4,4,2918,2236,2226,10,פה,943,934,9,0.42363,64,7,5,2,0,0,74,0,1,0,0,0,0,0,0,98,934,1,0,0,7,0,943,0,0,0,1,0,0,89
K23,stat2011:83000521,statistical_area,stat2011:83000521,2011,83000521,521,loc:8300,8300,ראשון לציון,6,6,3855,2677,2665,12,מחל,1055,1031,24,0.395872,121,17,1,2,0,0,103,0,0,0,0,0,1,0,0,225,1055,2,0,0,6,0,1031,0,0,1,0,0,1,99
K23,stat2011:83000522,statistical_area,stat2011:83000522,2011,83000522,522,loc:8300,8300,ראשון לציון,7,7,4001,2780,2769,11,פה,1069,1065,4,0.38606,142,15,2,9,0,0,84,0,0,0,0,0,0,0,0,233,1065,0,1,0,10,0,1069,2,0,2,0,0,0,135
