election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס
K21,stat2011:1120001,statistical_area,stat2011:1120001,2011,1120001,1,loc:112,112,כפר חסידים א',1,1,514,392,392,0,פה,154,64,90,0.392857,24,13,0,0,13,0,0,0,0,43,0,0,0,0,6,0,4,64,6,41,0,0,0,11,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
K21,stat2011:11230001,statistical_area,stat2011:11230001,2011,11230001,1,loc:1123,1123,אדרת,1,1,549,411,408,3,מחל,225,44,181,0.551471,13,5,0,0,18,0,0,0,0,13,0,0,0,0,10,0,0,225,7,44,0,0,0,5,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37
K21,stat2011:11240001,statistical_area,stat2011:11240001,2011,11240001,1,loc:1124,1124,נאות הכיכר,1,1,211,147,147,0,פה,82,26,56,0.557823,26,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,20,5,2,0,0,0,5,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K21,stat2011:11250001,statistical_area,stat2011:11250001,2011,11250001,1,loc:1125,1125,אלמגור,1,1,284,231,231,0,פה,161,27,134,0.69697,27,0,0,2,3,0,1,0,0,1,0,0,0,0,2,0,0,12,17,2,0,0,0,2,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
K21,stat2011:11260001,statistical_area,stat2011:11260001,2011,11260001,1,loc:1126,1126,אילות,1,1,249,164,164,0,פה,80,44,36,0.487805,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,17,16,0,0,0,0,3,0,0,0,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
K21,stat2011:11270001,statistical_area,stat2011:11270001,2011,11270001,1,loc:1127,1127,מעלה גלבוע,1,1,351,297,297,0,נ,97,60,37,0.326599,21,0,0,0,20,0,0,0,0,22,0,0,0,0,5,0,2,25,4,97,0,0,0,39,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
K21,stat2011:11280001,statistical_area,stat2011:11280001,2011,11280001,1,loc:1128,1128,מי עמי,1,1,254,207,205,2,פה,105,46,59,0.512195,46,0,0,2,4,0,0,0,0,1,0,0,0,0,3,0,0,6,31,1,0,0,0,6,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K21,stat2011:11290001,statistical_area,stat2011:11290001,2011,11290001,1,loc:1129,1129,גרופית,1,1,284,179,179,0,פה,122,23,99,0.681564,23,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,12,11,1,0,0,0,4,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K21,stat2011:11300001,statistical_area,stat2011:11300001,2011,11300001,1,loc:1130,1130,כפר רוזנואלד (זרעית),1,1,222,154,154,0,מחל,76,33,43,0.493506,10,1,0,0,1,0,0,0,0,1,0,0,0,0,33,0,1,76,0,1,0,0,1,4,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5
K21,stat2011:1130001,statistical_area,stat2011:1130001,2011,1130001,1,loc:113,113,אדירים,1,1,230,175,175,0,מחל,96,47,49,0.548571,0,3,0,0,7,0,0,0,0,6,0,0,0,0,3,0,0,96,0,4,0,0,0,1,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,47
