election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,אר,ב,ג,ד,ה,ו,זך,חי,ט,ים,ינ,יק,כן,ל,מחל,מרצ,נ,נפ,נץ,נר,עם,פ,פח,פי,פק,ץ,צי,ק,קנ,קפ,קץ,רק,שס
K18,stat2008:10310004,statistical_area,stat2008:10310004,2008,10310004,4,loc:1031,1031,שדרות,6,6,3458,1790,1749,41,מחל,624,568,56,0.356775,64,0,11,19,1,3,5,2,1,47,0,0,4,178,568,624,10,0,0,2,1,1,3,0,0,1,1,1,3,9,0,2,2,186
K18,stat2008:10310005,statistical_area,stat2008:10310005,2008,10310005,5,loc:1031,1031,שדרות,4,4,2367,1221,1211,10,מחל,433,227,206,0.357556,79,0,39,21,1,1,10,3,3,104,0,0,0,126,133,433,17,1,0,2,0,0,1,0,0,0,2,2,0,5,0,0,1,227
K18,stat2008:10310006,statistical_area,stat2008:10310006,2008,10310006,6,loc:1031,1031,שדרות,4,4,2498,1541,1518,23,מחל,475,235,240,0.312912,75,0,53,25,4,1,1,3,1,235,1,0,1,189,217,475,13,3,0,1,0,0,1,0,2,0,0,0,0,2,0,1,0,214
K18,stat2008:10310007,statistical_area,stat2008:10310007,2008,10310007,7,loc:1031,1031,שדרות,3,3,1999,1050,1029,21,מחל,377,367,10,0.366375,30,1,4,9,4,2,2,2,0,37,0,0,2,120,367,377,3,1,0,0,2,0,0,0,0,1,1,1,0,2,1,2,3,55
K18,stat2008:10340002,statistical_area,stat2008:10340002,2008,10340002,2,loc:1034,1034,קריית מלאכי,5,5,2780,1622,1590,32,מחל,490,307,183,0.308176,153,0,89,14,0,2,0,33,4,59,0,0,2,307,129,490,5,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,3,294
K18,stat2008:10340003,statistical_area,stat2008:10340003,2008,10340003,3,loc:1034,1034,קריית מלאכי,4,4,2332,1191,1159,32,מחל,326,248,78,0.281277,123,1,83,7,0,0,1,5,1,27,1,4,4,153,141,326,3,0,4,0,0,4,1,0,1,0,5,4,2,2,4,1,3,248
K18,stat2008:10340004,statistical_area,stat2008:10340004,2008,10340004,4,loc:1034,1034,קריית מלאכי,3,3,1604,1006,989,17,מחל,285,181,104,0.28817,67,0,85,10,0,0,0,3,1,111,2,0,0,181,94,285,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,142
K18,stat2008:10340005,statistical_area,stat2008:10340005,2008,10340005,5,loc:1034,1034,קריית מלאכי,4,4,2528,1440,1420,20,מחל,400,258,142,0.28169,127,0,100,8,1,5,0,23,1,180,0,0,0,258,88,400,3,1,0,0,0,0,1,0,1,0,1,1,0,2,0,0,3,216
K18,stat2008:10340006,statistical_area,stat2008:10340006,2008,10340006,6,loc:1034,1034,קריית מלאכי,6,6,3642,1893,1834,59,מחל,556,332,224,0.303162,71,0,120,68,4,3,2,10,1,124,2,2,5,250,213,556,9,7,3,0,1,3,5,0,2,4,0,5,8,14,3,3,4,332
K18,stat2008:10340007,statistical_area,stat2008:10340007,2008,10340007,7,loc:1034,1034,קריית מלאכי,3,3,1914,1161,1149,12,ט,496,269,227,0.43168,15,0,50,24,1,1,0,0,0,496,0,1,1,37,52,188,1,1,1,2,1,0,1,0,3,0,0,1,1,1,0,0,1,269
K18,stat2008:10340008,statistical_area,stat2008:10340008,2008,10340008,8,loc:1034,1034,קריית מלאכי,1,1,306,206,205,1,ט,149,26,123,0.726829,1,0,2,5,0,0,0,1,0,149,0,0,0,1,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
K18,stat2008:1040001,statistical_area,stat2008:1040001,2008,1040001,1,loc:104,104,מזרע,2,2,665,467,465,2,מרצ,160,140,20,0.344086,140,0,0,1,0,6,1,1,0,0,0,0,0,119,11,16,160,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,1
K18,stat2008:10430001,statistical_area,stat2008:10430001,2008,10430001,1,loc:1043,1043,גיזו,1,1,120,86,86,0,מחל,36,18,18,0.418605,18,0,0,0,0,1,0,0,0,3,0,0,0,17,1,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
K18,stat2008:10450001,statistical_area,stat2008:10450001,2008,10450001,1,loc:1045,1045,שתולה,1,1,191,122,122,0,שס,31,26,5,0.254098,26,0,3,0,0,0,2,0,2,6,0,0,0,24,8,17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31
K18,stat2008:10460001,statistical_area,stat2008:10460001,2008,10460001,1,loc:1046,1046,אוהד,1,1,222,154,153,1,מחל,44,41,3,0.287582,40,0,1,0,0,0,2,0,1,0,0,0,0,41,16,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
K18,stat2008:10470001,statistical_area,stat2008:10470001,2008,10470001,1,loc:1047,1047,חזון,1,1,279,205,205,0,מחל,76,37,39,0.370732,5,0,31,37,0,0,0,0,1,5,0,0,0,9,10,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
K18,stat2008:10500001,statistical_area,stat2008:10500001,2008,10500001,1,loc:1050,1050,בית חשמונאי,2,2,1030,775,770,5,מחל,280,244,36,0.363636,92,0,13,0,0,8,1,0,1,9,0,0,0,244,65,280,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,24
K18,stat2008:10510001,statistical_area,stat2008:10510001,2008,10510001,1,loc:1051,1051,תלמי אליהו,1,1,221,115,111,4,אמת,29,29,0,0.261261,29,0,1,1,0,1,0,0,0,6,0,0,0,23,3,29,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13
K18,stat2008:10520001,statistical_area,stat2008:10520001,2008,10520001,1,loc:1052,1052,קטורה,1,1,409,204,201,3,כן,75,47,28,0.373134,25,0,0,0,0,47,0,0,0,4,0,0,0,75,10,13,20,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,1
K18,stat2008:10580001,statistical_area,stat2008:10580001,2008,10580001,1,loc:1058,1058,שדה ניצן,1,1,336,192,192,0,אמת,69,59,10,0.359375,69,0,5,0,0,5,1,2,0,2,0,0,0,59,15,15,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
K18,stat2008:10590001,statistical_area,stat2008:10590001,2008,10590001,1,loc:1059,1059,כסיפה,8,8,5138,1863,1824,39,עם,1442,135,1307,0.79057,25,0,1,18,135,0,20,3,1,4,0,2,1,27,40,24,24,0,2,2,2,1442,1,0,0,6,2,1,5,6,2,1,2,25
K18,stat2008:10600001,statistical_area,stat2008:10600001,2008,10600001,1,loc:1060,1060,לקיה,6,6,4516,2013,1963,50,עם,1320,527,793,0.67244,10,0,0,1,527,0,32,0,4,3,4,0,0,4,3,19,2,0,0,4,0,1320,1,0,1,2,5,3,2,0,0,6,2,8
K18,stat2008:1060001,statistical_area,stat2008:1060001,2008,1060001,1,loc:106,106,כפר גדעון,1,1,146,99,99,0,שס,32,23,9,0.323232,1,0,2,23,0,2,0,1,0,12,0,0,0,4,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32
K18,stat2008:10610011,statistical_area,stat2008:10610011,2008,10610011,11,loc:1061,1061,נצרת עילית,8,8,4838,2902,2811,91,ל,1265,587,678,0.450018,94,0,10,10,58,6,122,14,2,31,1,0,1,497,1265,587,23,3,0,0,0,18,2,0,1,0,2,5,8,7,0,3,3,38
K18,stat2008:10610012,statistical_area,stat2008:10610012,2008,10610012,12,loc:1061,1061,נצרת עילית,4,4,2517,1516,1484,32,ל,690,318,372,0.46496,36,0,6,6,37,3,53,9,0,10,0,1,0,243,690,318,9,5,0,0,1,7,1,0,1,0,2,3,4,7,1,2,5,24
K18,stat2008:10610021,statistical_area,stat2008:10610021,2008,10610021,21,loc:1061,1061,נצרת עילית,5,5,2953,1539,1496,43,ו,483,266,217,0.322861,79,0,9,8,186,1,483,12,3,16,1,1,3,151,266,171,40,1,1,1,0,20,2,0,0,1,1,0,3,3,0,2,3,28
K18,stat2008:10610022,statistical_area,stat2008:10610022,2008,10610022,22,loc:1061,1061,נצרת עילית,5,5,3631,1841,1784,57,ל,673,345,328,0.377242,103,2,29,9,43,1,146,9,3,33,0,3,1,279,673,345,8,1,1,3,1,6,6,0,1,1,1,3,6,10,3,1,1,52
K18,stat2008:10610023,statistical_area,stat2008:10610023,2008,10610023,23,loc:1061,1061,נצרת עילית,4,4,2318,916,891,25,ל,317,175,142,0.35578,45,0,6,8,42,2,62,16,0,7,0,1,3,153,317,175,7,3,1,0,0,10,0,0,1,0,2,3,3,3,3,1,2,15
K18,stat2008:10610024,statistical_area,stat2008:10610024,2008,10610024,24,loc:1061,1061,נצרת עילית,4,4,2446,1341,1311,30,ל,499,280,219,0.380625,71,0,13,4,21,0,85,11,0,11,0,0,2,257,499,280,5,3,2,0,0,5,1,0,0,0,0,2,4,5,1,0,2,27
K18,stat2008:10610025,statistical_area,stat2008:10610025,2008,10610025,25,loc:1061,1061,נצרת עילית,1,1,593,342,335,7,ל,133,95,38,0.397015,11,0,2,2,9,1,17,1,1,7,0,0,0,43,133,95,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,7
K18,stat2008:10610031,statistical_area,stat2008:10610031,2008,10610031,31,loc:1061,1061,נצרת עילית,4,4,2798,1731,1684,47,ל,890,389,501,0.528504,36,0,6,8,4,3,29,17,2,12,0,3,0,244,890,389,9,1,0,1,1,1,0,0,0,1,3,2,3,9,0,0,4,6
