election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת
K24,stat2011:10310002,statistical_area,stat2011:10310002,2011,10310002,2,loc:1031,1031,שדרות,7,7,3210,1734,1724,10,מחל,719,245,474,0.417053,38,204,35,3,1,0,189,1,12,0,0,2,0,0,1,63,81,719,11,3,0,0,3,67,0,0,0,0,0,0,0,0,1,3,0,0,0,245,42
K24,stat2011:10310003,statistical_area,stat2011:10310003,2011,10310003,3,loc:1031,1031,שדרות,6,6,3465,1840,1821,19,מחל,762,215,547,0.418451,48,215,10,2,0,0,103,0,6,0,0,1,0,0,2,72,203,762,22,0,0,0,1,78,3,0,0,0,0,0,0,0,0,12,0,0,0,201,80
K24,stat2011:10310004,statistical_area,stat2011:10310004,2011,10310004,4,loc:1031,1031,שדרות,7,7,3966,2215,2186,29,מחל,920,257,663,0.42086,30,257,12,2,0,0,128,2,20,0,0,3,0,1,2,64,242,920,22,4,0,0,0,118,0,1,0,0,0,0,0,1,1,19,0,1,0,255,81
K24,stat2011:10310005,statistical_area,stat2011:10310005,2011,10310005,5,loc:1031,1031,שדרות,7,7,3197,2012,2005,7,מחל,790,305,485,0.394015,41,293,14,7,0,0,305,0,7,0,0,0,1,0,0,65,54,790,33,0,0,0,2,78,0,0,0,0,1,0,0,0,0,4,1,0,0,269,40
K24,stat2011:10310006,statistical_area,stat2011:10310006,2011,10310006,6,loc:1031,1031,שדרות,9,9,4605,3242,3227,15,מחל,1309,532,777,0.40564,72,532,16,2,0,0,502,2,12,0,0,0,1,0,0,81,143,1309,27,0,0,0,1,107,0,0,0,0,0,0,0,0,0,9,1,0,0,312,98
K24,stat2011:10310007,statistical_area,stat2011:10310007,2011,10310007,7,loc:1031,1031,שדרות,5,5,2951,1750,1738,12,מחל,727,241,486,0.418297,25,210,11,0,0,0,115,0,9,0,0,0,0,0,0,47,241,727,17,0,1,0,0,95,0,0,0,0,0,0,0,0,0,13,1,1,0,143,82
K24,stat2011:10340001,statistical_area,stat2011:10340001,2011,10340001,1,loc:1034,1034,קריית מלאכי,1,1,546,380,377,3,מחל,205,60,145,0.543767,4,27,2,0,0,0,26,0,0,0,0,0,0,0,0,12,1,205,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,60,22
K24,stat2011:10340002,statistical_area,stat2011:10340002,2011,10340002,2,loc:1034,1034,קריית מלאכי,5,5,3081,2053,2035,18,מחל,1017,328,689,0.499754,23,141,13,0,0,1,148,0,22,0,0,0,0,0,2,117,37,1017,2,0,1,0,0,77,0,0,0,0,0,0,0,0,0,5,3,1,0,328,97
K24,stat2011:10340003,statistical_area,stat2011:10340003,2011,10340003,3,loc:1034,1034,קריית מלאכי,3,3,1511,817,805,12,מחל,379,178,201,0.470807,15,44,8,0,0,0,41,0,8,0,0,0,0,0,1,35,28,379,8,1,0,1,0,27,1,0,0,0,0,0,0,0,0,0,1,0,0,178,29
K24,stat2011:10340004,statistical_area,stat2011:10340004,2011,10340004,4,loc:1034,1034,קריית מלאכי,3,3,1628,1018,1016,2,מחל,419,172,247,0.412402,11,58,52,0,0,0,155,0,5,0,0,0,0,0,1,67,18,419,4,1,0,0,0,18,0,1,0,0,1,0,0,0,0,0,0,0,0,172,33
K24,stat2011:10340005,statistical_area,stat2011:10340005,2011,10340005,5,loc:1034,1034,קריית מלאכי,7,7,4352,2802,2780,22,מחל,1210,455,755,0.435252,31,138,130,0,0,0,455,0,18,1,0,0,0,2,2,138,48,1210,7,0,0,0,0,53,0,0,2,0,0,0,1,0,1,17,1,0,0,451,74
K24,stat2011:10340006,statistical_area,stat2011:10340006,2011,10340006,6,loc:1034,1034,קריית מלאכי,6,6,3259,1819,1809,10,מחל,869,292,577,0.480376,21,74,104,4,0,0,203,0,6,0,0,0,0,0,3,111,34,869,3,1,1,1,2,31,0,0,0,0,0,0,0,1,1,12,1,0,0,292,34
K24,stat2011:10340007,statistical_area,stat2011:10340007,2011,10340007,7,loc:1034,1034,קריית מלאכי,5,5,3108,2033,2024,9,ט,763,451,312,0.376976,7,81,261,0,0,0,763,2,3,0,0,0,1,0,1,25,14,451,3,0,0,0,1,18,0,0,0,0,0,1,0,0,4,11,0,1,0,353,23
K24,stat2011:1040001,statistical_area,stat2011:1040001,2011,1040001,1,loc:104,104,מזרע,2,2,705,507,507,0,מרצ,167,110,57,0.329389,102,9,1,0,0,0,0,0,4,0,0,0,0,0,0,89,2,11,167,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
K24,stat2011:10410001,statistical_area,stat2011:10410001,2011,10410001,1,loc:1041,1041,נצאצרה (שבט),1,1,337,118,118,0,עם,76,40,36,0.644068,0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
K24,stat2011:10430001,statistical_area,stat2011:10430001,2011,10430001,1,loc:1043,1043,גיזו,1,1,150,122,122,0,מחל,37,22,15,0.303279,18,11,0,0,0,1,2,0,1,0,0,0,0,0,0,10,3,37,10,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4
K24,stat2011:10440001,statistical_area,stat2011:10440001,2011,10440001,1,loc:1044,1044,יעף,1,1,175,135,134,1,פה,31,21,10,0.231343,17,9,1,3,0,0,2,0,0,0,0,0,0,0,1,12,4,21,16,0,0,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,1,11
K24,stat2011:10450001,statistical_area,stat2011:10450001,2011,10450001,1,loc:1045,1045,שתולה,1,1,229,148,148,0,מחל,55,20,35,0.371622,11,20,4,1,0,0,17,0,1,0,0,0,0,0,0,17,0,55,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,6,6
K24,stat2011:10460001,statistical_area,stat2011:10460001,2011,10460001,1,loc:1046,1046,אוהד,1,1,266,181,181,0,מחל,72,21,51,0.39779,17,19,0,1,0,0,5,0,0,0,0,0,0,0,1,21,5,72,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,3,12
K24,stat2011:10470001,statistical_area,stat2011:10470001,2011,10470001,1,loc:1047,1047,חזון,1,1,258,203,203,0,מחל,127,29,98,0.625616,0,11,7,0,0,0,12,0,0,0,0,0,0,0,0,5,0,127,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6
K24,stat2011:10500001,statistical_area,stat2011:10500001,2011,10500001,1,loc:1050,1050,בית חשמונאי,3,3,1503,1138,1134,4,מחל,325,295,30,0.286596,99,73,1,1,0,1,21,0,12,0,0,0,0,0,0,141,15,325,49,0,0,0,0,295,1,1,0,0,0,0,0,0,0,4,0,0,0,12,83
K24,stat2011:10510001,statistical_area,stat2011:10510001,2011,10510001,1,loc:1051,1051,תלמי אליהו,1,1,229,138,138,0,מחל,50,20,30,0.362319,5,17,4,0,0,0,3,0,2,0,0,0,0,0,0,7,0,50,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,13,13
K24,stat2011:10520001,statistical_area,stat2011:10520001,2011,10520001,1,loc:1052,1052,קטורה,1,1,450,228,224,4,אמת,91,44,47,0.40625,91,7,0,1,0,0,1,0,0,0,0,0,0,0,0,12,11,10,44,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
K24,stat2011:10540001,statistical_area,stat2011:10540001,2011,10540001,1,loc:1054,1054,תל שבע,8,8,4093,1968,1945,23,עם,1563,302,1261,0.803599,5,0,0,302,0,0,0,0,1,3,0,1,0,0,0,1,0,40,17,1,0,0,1563,3,2,0,3,0,0,0,1,1,0,0,1,0,0,0,0
K24,stat2011:10540002,statistical_area,stat2011:10540002,2011,10540002,2,loc:1054,1054,תל שבע,5,5,2255,913,902,11,עם,774,69,705,0.858093,3,1,0,69,0,0,0,0,0,0,1,0,0,0,1,0,0,24,16,0,0,1,774,8,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
K24,stat2011:10540003,statistical_area,stat2011:10540003,2011,10540003,3,loc:1054,1054,תל שבע,8,8,3967,1528,1515,13,עם,1295,167,1128,0.854785,3,0,0,167,0,0,0,0,0,0,0,0,0,0,1,2,0,24,10,0,1,0,1295,6,1,0,2,0,0,0,0,1,0,0,0,0,0,2,0
