election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
K22,stat2011:83000122,statistical_area,stat2011:83000122,2011,83000122,122,loc:8300,8300,ראשון לציון,6,6,3282,1900,1880,20,מחל,555,520,35,0.295213,83,54,0,2,1,0,1,80,0,4,2,0,0,0,1,33,368,555,35,0,0,0,520,1,3,0,1,1,0,1,2,132
K22,stat2011:83000123,statistical_area,stat2011:83000123,2011,83000123,123,loc:8300,8300,ראשון לציון,4,4,2637,1586,1567,19,מחל,558,451,107,0.356094,74,36,2,1,0,0,0,51,1,0,0,1,0,0,1,14,255,558,21,0,0,0,451,1,4,0,0,0,0,0,1,95
K22,stat2011:83000124,statistical_area,stat2011:83000124,2011,83000124,124,loc:8300,8300,ראשון לציון,4,4,2171,1444,1436,8,מחל,479,424,55,0.333565,59,35,1,0,0,0,0,38,0,4,0,0,0,0,0,19,304,479,9,1,0,0,424,0,2,0,0,1,0,0,0,60
K22,stat2011:83000125,statistical_area,stat2011:83000125,2011,83000125,125,loc:8300,8300,ראשון לציון,9,9,5185,3446,3422,24,מחל,1205,1100,105,0.352133,132,29,4,2,1,0,2,118,0,2,0,0,0,0,2,54,583,1205,41,2,0,0,1100,0,5,0,0,2,1,0,0,137
K22,stat2011:83000126,statistical_area,stat2011:83000126,2011,83000126,126,loc:8300,8300,ראשון לציון,11,11,6385,4602,4572,30,פה,1621,1489,132,0.354549,225,87,0,1,2,0,4,188,1,4,0,0,1,0,0,68,545,1489,84,1,1,0,1621,0,8,0,1,6,0,0,4,231
K22,stat2011:83000211,statistical_area,stat2011:83000211,2011,83000211,211,loc:8300,8300,ראשון לציון,6,6,3952,2727,2708,19,מחל,1180,741,439,0.435746,140,30,3,0,0,0,1,112,0,3,0,1,0,0,1,74,153,1180,46,0,0,0,741,0,0,1,0,2,2,0,0,218
K22,stat2011:83000212,statistical_area,stat2011:83000212,2011,83000212,212,loc:8300,8300,ראשון לציון,6,6,3918,2691,2685,6,מחל,1382,510,872,0.514711,111,32,0,0,0,0,6,128,0,1,0,1,0,0,0,95,95,1382,27,0,0,0,510,1,0,0,0,0,0,1,0,295
K22,stat2011:83000213,statistical_area,stat2011:83000213,2011,83000213,213,loc:8300,8300,ראשון לציון,8,8,4926,3518,3501,17,מחל,1608,867,741,0.459297,163,70,0,0,0,0,2,151,0,9,0,0,0,0,0,110,156,1608,52,2,0,0,867,1,0,0,0,1,0,0,0,309
K22,stat2011:83000214,statistical_area,stat2011:83000214,2011,83000214,214,loc:8300,8300,ראשון לציון,4,4,2629,1935,1932,3,פה,800,597,203,0.414079,130,8,2,0,0,0,0,81,0,0,1,0,0,0,0,18,181,597,58,0,0,0,800,0,0,0,0,1,0,1,0,54
K22,stat2011:83000215,statistical_area,stat2011:83000215,2011,83000215,215,loc:8300,8300,ראשון לציון,6,6,4085,3059,3049,10,פה,1443,877,566,0.47327,191,24,4,1,0,0,4,78,1,2,1,0,0,0,0,19,215,877,89,2,0,0,1443,0,1,0,0,3,0,0,1,93
K22,stat2011:83000221,statistical_area,stat2011:83000221,2011,83000221,221,loc:8300,8300,ראשון לציון,5,5,3237,2112,2105,7,פה,714,664,50,0.339192,127,20,3,2,0,0,2,110,0,3,0,1,0,0,0,43,313,664,30,0,0,0,714,2,1,0,1,0,0,0,0,69
K22,stat2011:83000222,statistical_area,stat2011:83000222,2011,83000222,222,loc:8300,8300,ראשון לציון,9,9,5759,3841,3822,19,פה,1365,1094,271,0.357143,224,59,4,0,0,0,2,301,0,6,0,0,1,0,1,82,452,1094,101,1,0,0,1365,2,6,1,1,1,0,0,2,116
