election,source_result_row_id,source_locality_name,source_kalpi,pdf_source,scanned_address,place,notes
K17,1069,ירכא,90,part 1 pages 69-70,0,"בי""ס ממלכתי ב'",manual visual transcription of K17 scanned polling-place list
K17,1070,כאבול,10,part 1 page 70,0,"בי""ס יסודי א'",manual visual transcription of K17 scanned polling-place list
K17,1071,כאבול,20,part 1 page 70,0,"בי""ס ג'",manual visual transcription of K17 scanned polling-place list
K17,1072,כאבול,30,part 1 page 70,0,"בי""ס יסודי ב'",manual visual transcription of K17 scanned polling-place list
K17,1073,כאבול,40,part 1 page 70,0,"בי""ס יסודי ב'",manual visual transcription of K17 scanned polling-place list
K17,1074,כאבול,50,part 1 page 70,0,"בי""ס תיכון",manual visual transcription of K17 scanned polling-place list
K17,1075,כאבול,60,part 1 page 70,0,"בי""ס תיכון",manual visual transcription of K17 scanned polling-place list
K17,1076,כאבול,70,part 1 page 70,0,"בי""ס יסודי ג'",manual visual transcription of K17 scanned polling-place list
K17,1077,כאבול,80,part 1 page 70,0,"בי""ס יסודי ג'",manual visual transcription of K17 scanned polling-place list
K17,1078,כאבול,90,part 1 page 70,0,"בי""ס יסודי ג'",manual visual transcription of K17 scanned polling-place list
K17,1890,כסיפה,20,part 2 page 126,0,"בי""ס תל אל מלח",manual visual transcription of K17 scanned polling-place list
K17,1891,כסיפה,30,part 2 page 126,0,"בי""ס תל אל מלח",manual visual transcription of K17 scanned polling-place list
K17,1894,כסיפה,60,part 2 page 126,0,"בי""ס אל ואדי",manual visual transcription of K17 scanned polling-place list
K17,1084,כפר יאסיף,30,part 1 page 71,0,"בי""ס חטיבת ביניים",manual visual transcription of K17 scanned polling-place list
K17,1085,כפר יאסיף,40,part 1 page 71,0,"בי""ס חטיבת ביניים",manual visual transcription of K17 scanned polling-place list
K17,1086,כפר יאסיף,50,part 1 page 71,0,"בי""ס חטיבת ביניים",manual visual transcription of K17 scanned polling-place list
K17,1087,כפר יאסיף,60,part 1 page 71,0,"בי""ס יסודי ב' אלבוסתן",manual visual transcription of K17 scanned polling-place list
K17,1088,כפר יאסיף,70,part 1 page 71,0,"בי""ס יסודי ב' אלבוסתן",manual visual transcription of K17 scanned polling-place list
K17,1089,כפר יאסיף,80,part 1 page 71,0,"בי""ס חטיבת ביניים",manual visual transcription of K17 scanned polling-place list
K17,1093,כפר כנא,10,part 1 page 53,0,"בי""ס יסודי ב' - שכונת אמארה",manual visual transcription of K17 scanned polling-place list
K17,1094,כפר כנא,20,part 1 page 53,0,"בי""ס יסודי ב' - שכונת אמארה",manual visual transcription of K17 scanned polling-place list
K17,1095,כפר כנא,30,part 1 page 53,0,"בי""ס יסודי ג' - השכונה המזרחית",manual visual transcription of K17 scanned polling-place list
K17,1096,כפר כנא,40,part 1 page 53,0,"בי""ס יסודי ג' - השכונה המזרחית",manual visual transcription of K17 scanned polling-place list
K17,1097,כפר כנא,50,part 1 page 53,0,"בי""ס תיכון",manual visual transcription of K17 scanned polling-place list
K17,1098,כפר כנא,60,part 1 page 53,0,"בי""ס תיכון",manual visual transcription of K17 scanned polling-place list
K17,1099,כפר כנא,70,part 1 page 53,0,"בי""ס חט""ב א' - השכונה הצפונית",manual visual transcription of K17 scanned polling-place list
K17,1100,כפר כנא,80,part 1 page 53,0,"בי""ס יסודי א' - שכונת עואודה",manual visual transcription of K17 scanned polling-place list
K17,1101,כפר כנא,90,part 1 page 53,0,"בי""ס יסודי א' - שכונת עואודה",manual visual transcription of K17 scanned polling-place list
K17,1102,כפר כנא,100,part 1 page 53,0,"בי""ס חט""ב א' - השכונה הצפונית",manual visual transcription of K17 scanned polling-place list
K17,1103,כפר כנא,110,part 1 page 53,0,"בי""ס יסודי ב' - שכונת אמארה",manual visual transcription of K17 scanned polling-place list
K17,1104,כפר כנא,120,part 1 page 53,0,"בי""ס תיכון",manual visual transcription of K17 scanned polling-place list
K17,1105,כפר כנא,130,part 1 page 53,0,"בי""ס יסודי א' - שכונת עואודה",manual visual transcription of K17 scanned polling-place list
K17,1106,כפר מנדא,10,part 1 page 71,0,"בי""ס ממלכתי אל ג'זאלי",manual visual transcription of K17 scanned polling-place list
K17,1107,כפר מנדא,20,part 1 page 71,0,אשכול גנים מערבי,manual visual transcription of K17 scanned polling-place list
K17,1108,כפר מנדא,30,part 1 page 71,0,אשכול גנים מזרחי,manual visual transcription of K17 scanned polling-place list
K17,1109,כפר מנדא,40,part 1 page 71,0,קופת חולים,manual visual transcription of K17 scanned polling-place list
K17,1111,כפר מנדא,60,part 1 page 71,0,"בי""ס אבן סינא",manual visual transcription of K17 scanned polling-place list
K17,1112,כפר מנדא,70,part 1 page 71,0,"בי""ס אל מונתבי",manual visual transcription of K17 scanned polling-place list
K17,1113,כפר מנדא,80,part 1 page 71,0,"בי""ס אל ראזי",manual visual transcription of K17 scanned polling-place list
K17,1114,כפר מנדא,90,part 1 page 71,0,טיפת חלב ג',manual visual transcription of K17 scanned polling-place list
K17,1115,כפר מנדא,100,part 1 page 71,0,מרכז נוער,manual visual transcription of K17 scanned polling-place list
K17,1345,כפר קאסם,10,part 2 page 5,0,"בי""ס אלמנאר",manual visual transcription of K17 scanned polling-place list
K17,1346,כפר קאסם,20,part 2 page 5,0,"בי""ס ממלכתי אל עומרי",manual visual transcription of K17 scanned polling-place list
K17,1347,כפר קאסם,30,part 2 page 5,0,"בי""ס ממלכתי אל עומרי",manual visual transcription of K17 scanned polling-place list
K17,1348,כפר קאסם,40,part 2 page 5,0,"בי""ס ממלכתי אל עומרי",manual visual transcription of K17 scanned polling-place list
K17,1349,כפר קאסם,50,part 2 page 5,0,"בי""ס אלמנאר",manual visual transcription of K17 scanned polling-place list
K17,1350,כפר קאסם,60,part 2 page 5,0,"בי""ס אלמנאר",manual visual transcription of K17 scanned polling-place list
K17,1351,כפר קאסם,70,part 2 page 5,0,"בי""ס ממלכתי אלע'זאלי",manual visual transcription of K17 scanned polling-place list
K17,1352,כפר קאסם,80,part 2 page 5,0,"בי""ס ממלכתי אלע'זאלי",manual visual transcription of K17 scanned polling-place list
K17,1353,כפר קאסם,90,part 2 page 5,0,"בי""ס ממלכתי אלע'זאלי",manual visual transcription of K17 scanned polling-place list
K17,1354,כפר קאסם,100,part 2 page 5,0,"בי""ס יסודי אבן - רושד",manual visual transcription of K17 scanned polling-place list
K17,1355,כפר קאסם,110,part 2 page 5,0,"בי""ס יסודי אבן - רושד",manual visual transcription of K17 scanned polling-place list
K17,1356,כפר קאסם,120,part 2 page 5,0,"בי""ס יסודי אבן - רושד",manual visual transcription of K17 scanned polling-place list
K17,1357,כפר קאסם,130,part 2 page 5,0,"בי""ס ממלכתי אלע'זאלי",manual visual transcription of K17 scanned polling-place list
K17,1897,לקיה,10,part 2 page 127,0,"בי""ס תיכון לקיה",manual visual transcription of K17 scanned polling-place list
K17,1899,לקיה,30,part 2 page 127,0,"בי""ס תיכון לקיה",manual visual transcription of K17 scanned polling-place list
K17,1900,לקיה,40,part 2 page 127,0,"בי""ס תיכון לקיה",manual visual transcription of K17 scanned polling-place list
K17,1901,לקיה,50,part 2 page 127,0,"בי""ס תיכון לקיה",manual visual transcription of K17 scanned polling-place list
K17,4406,מג'דל שמס,10,part 1 page 35,0,"מזכירות נוה אטי""ב",manual visual transcription of K17 scanned polling-place list
K17,970,מגאר,10,part 1 page 44,0,"בי""ס יסודי ב'",manual visual transcription of K17 scanned polling-place list
K17,971,מגאר,20,part 1 page 44,0,"בי""ס יסודי ה'",manual visual transcription of K17 scanned polling-place list
K17,972,מגאר,30,part 1 page 44,0,"בי""ס תיכון מקיף א'",manual visual transcription of K17 scanned polling-place list
K17,973,מגאר,40,part 1 page 44,0,"בי""ס מקיף ב' - מנסור",manual visual transcription of K17 scanned polling-place list
K17,974,מגאר,50,part 1 page 44,0,"בי""ס מקיף ב' - מנסור",manual visual transcription of K17 scanned polling-place list
K17,975,מגאר,60,part 1 page 44,0,"בי""ס יסודי א'",manual visual transcription of K17 scanned polling-place list
K17,976,מגאר,70,part 1 page 44,0,"בי""ס יסודי א'",manual visual transcription of K17 scanned polling-place list
K17,977,מגאר,80,part 1 page 44,0,"בי""ס יסודי ד'",manual visual transcription of K17 scanned polling-place list
K17,978,מגאר,90,part 1 page 44,0,"בי""ס תיכון מקיף א'",manual visual transcription of K17 scanned polling-place list
K17,979,מגאר,100,part 1 page 44,0,"בי""ס יסודי ג'",manual visual transcription of K17 scanned polling-place list
K17,980,מגאר,110,part 1 page 44,0,"בי""ס יסודי ג'",manual visual transcription of K17 scanned polling-place list
K17,981,מגאר,120,part 1 page 44,0,"בי""ס יסודי ה'",manual visual transcription of K17 scanned polling-place list
K17,982,מגאר,130,part 1 page 44,0,"בי""ס יסודי ב'",manual visual transcription of K17 scanned polling-place list
K17,983,מגאר,140,part 1 page 44,0,"בי""ס יסודי ד'",manual visual transcription of K17 scanned polling-place list
K17,984,מגאר,150,part 1 page 44,0,"בי""ס יסודי ד'",manual visual transcription of K17 scanned polling-place list
K17,985,מגאר,160,part 1 page 44,0,"בי""ס יסודי ה'",manual visual transcription of K17 scanned polling-place list
K17,1158,נחף,10,part 1 page 77,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,1159,נחף,20,part 1 page 77,0,"בי""ס מקיף חט""ב ב'",manual visual transcription of K17 scanned polling-place list
K17,1160,נחף,30,part 1 page 77,0,"בי""ס מקיף חט""ע",manual visual transcription of K17 scanned polling-place list
K17,1161,נחף,40,part 1 page 77,0,"בי""ס ממלכתי ב'",manual visual transcription of K17 scanned polling-place list
K17,1162,נחף,50,part 1 page 77,0,"בי""ס ג' החדש",manual visual transcription of K17 scanned polling-place list
K17,1163,נחף,60,part 1 page 77,0,מועדון קשישים,manual visual transcription of K17 scanned polling-place list
K17,1164,נחף,70,part 1 page 77,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,6605,סח'נין,10,part 1 pages 77-78,0,"בי""ס ממלכתי ה ואדי א",manual visual transcription of K17 scanned polling-place list
K17,6606,סח'נין,20,part 1 pages 77-78,0,"בי""ס ממלכתי ה ואדי א",manual visual transcription of K17 scanned polling-place list
K17,6607,סח'נין,30,part 1 pages 77-78,0,"בי""ס ממלכתי ה ואדי א",manual visual transcription of K17 scanned polling-place list
K17,6608,סח'נין,40,part 1 page 78,0,"בי""ס ממלכתי ב אלסלאם",manual visual transcription of K17 scanned polling-place list
K17,6609,סח'נין,50,part 1 page 78,0,"בי""ס ממלכתי ב אלסלאם",manual visual transcription of K17 scanned polling-place list
K17,6610,סח'נין,60,part 1 page 78,0,"בי""ס ממלכתי ד אלנגאח",manual visual transcription of K17 scanned polling-place list
K17,6611,סח'נין,70,part 1 page 78,0,"בי""ס ממלכתי ג",manual visual transcription of K17 scanned polling-place list
K17,6612,סח'נין,80,part 1 page 78,0,"בי""ס ממלכתי ג",manual visual transcription of K17 scanned polling-place list
K17,6613,סח'נין,90,part 1 page 78,0,"בי""ס ממלכתי ג",manual visual transcription of K17 scanned polling-place list
K17,6614,סח'נין,100,part 1 page 78,0,"בי""ס יסודי ממלכתי 1",manual visual transcription of K17 scanned polling-place list
K17,6615,סח'נין,110,part 1 page 78,0,"בי""ס ממלכתי ד אלנגאח",manual visual transcription of K17 scanned polling-place list
K17,6616,סח'נין,120,part 1 pages 77-78,0,"בי""ס ממלכתי ה ואדי א",manual visual transcription of K17 scanned polling-place list
K17,6617,סח'נין,130,part 1 page 78,0,"בי""ס ממלכתי ב אלסלאם",manual visual transcription of K17 scanned polling-place list
K17,6618,סח'נין,140,part 1 page 78,0,"בי""ס ממלכתי ג",manual visual transcription of K17 scanned polling-place list
K17,6619,סח'נין,150,part 1 page 78,0,"בי""ס יסודי ממלכתי 1",manual visual transcription of K17 scanned polling-place list
K17,6620,סח'נין,160,part 1 page 78,0,"בי""ס יסודי ממלכתי 1",manual visual transcription of K17 scanned polling-place list
K17,6621,סח'נין,170,part 1 page 78,0,"בי""ס ממלכתי ב אלסלאם",manual visual transcription of K17 scanned polling-place list
K17,6622,סח'נין,180,part 1 pages 77-78,0,"בי""ס ממלכתי ה ואדי א",manual visual transcription of K17 scanned polling-place list
K17,6623,סח'נין,190,part 1 page 78,0,"בי""ס ממלכתי ג",manual visual transcription of K17 scanned polling-place list
K17,6624,סח'נין,200,part 1 page 78,0,"בי""ס ממלכתי ד אלנגאח",manual visual transcription of K17 scanned polling-place list
K17,1206,עין מאהל,10,part 1 pages 60-61,0,"בי""ס יסודי א'",manual visual transcription of K17 scanned polling-place list
K17,1207,עין מאהל,20,part 1 pages 60-61,0,"בי""ס יסודי א'",manual visual transcription of K17 scanned polling-place list
K17,1208,עין מאהל,30,part 1 pages 60-61,0,"בי""ס יסודי א'",manual visual transcription of K17 scanned polling-place list
K17,1209,עין מאהל,40,part 1 page 61,0,בית ספר יסודי ב',manual visual transcription of K17 scanned polling-place list
K17,1210,עין מאהל,50,part 1 page 61,0,בית ספר יסודי ב',manual visual transcription of K17 scanned polling-place list
K17,1211,עין מאהל,60,part 1 page 61,0,בית ספר יסודי ב',manual visual transcription of K17 scanned polling-place list
K17,1212,עין מאהל,70,part 1 page 61,0,בית ספר יסודי ב',manual visual transcription of K17 scanned polling-place list
K17,1213,עין מאהל,80,part 1 page 61,0,בית ספר יסודי ב',manual visual transcription of K17 scanned polling-place list
K17,1191,עראבה,10,part 1 pages 80-81,0,"בי""ס ממלכתי ד",manual visual transcription of K17 scanned polling-place list
K17,1192,עראבה,20,part 1 pages 80-81,0,"בי""ס ממלכתי ד",manual visual transcription of K17 scanned polling-place list
K17,1193,עראבה,30,part 1 pages 80-81,0,"בי""ס ממלכתי א",manual visual transcription of K17 scanned polling-place list
K17,1194,עראבה,40,part 1 pages 80-81,0,"בי""ס ממלכתי א",manual visual transcription of K17 scanned polling-place list
K17,1195,עראבה,50,part 1 pages 80-81,0,"בי""ס ממלכתי ב",manual visual transcription of K17 scanned polling-place list
K17,1196,עראבה,60,part 1 pages 80-81,0,"בי""ס תיכון עראבה",manual visual transcription of K17 scanned polling-place list
K17,1197,עראבה,70,part 1 pages 80-81,0,"בי""ס ממלכתי ב",manual visual transcription of K17 scanned polling-place list
K17,1198,עראבה,80,part 1 pages 80-81,0,"בי""ס ממלכתי א",manual visual transcription of K17 scanned polling-place list
K17,1199,עראבה,90,part 1 pages 80-81,0,"בי""ס ממלכתי ד",manual visual transcription of K17 scanned polling-place list
K17,1200,עראבה,100,part 1 page 81,0,"חט""ב א'",manual visual transcription of K17 scanned polling-place list
K17,1201,עראבה,110,part 1 pages 80-81,0,"בי""ס תיכון עראבה",manual visual transcription of K17 scanned polling-place list
K17,1202,עראבה,120,part 1 pages 80-81,0,"בי""ס ממלכתי ב",manual visual transcription of K17 scanned polling-place list
K17,1203,עראבה,130,part 1 page 81,0,"חט""ב א'",manual visual transcription of K17 scanned polling-place list
K17,1204,עראבה,140,part 1 pages 80-81,0,"בי""ס תיכון עראבה",manual visual transcription of K17 scanned polling-place list
K17,1205,עראבה,150,part 1 page 81,0,"חט""ב א'",manual visual transcription of K17 scanned polling-place list
K17,1361,ערערה,10,part 1 pages 116-117,0,"בי""ס תיכון טכנולוגי",manual visual transcription of K17 scanned polling-place list
K17,1362,ערערה,20,part 1 page 116,0,"בי""ס חטיבת ביניים",manual visual transcription of K17 scanned polling-place list
K17,1363,ערערה,30,part 1 page 116,0,"בי""ס חטיבת ביניים",manual visual transcription of K17 scanned polling-place list
K17,1364,ערערה,40,part 1 page 116,0,"בי""ס חטיבת ביניים",manual visual transcription of K17 scanned polling-place list
K17,1365,ערערה,50,part 1 pages 116-117,0,"בי""ס תיכון טכנולוגי",manual visual transcription of K17 scanned polling-place list
K17,1369,ערערה,110,part 1 page 116,0,"בי""ס חטיבת ביניים",manual visual transcription of K17 scanned polling-place list
