election,source_result_row_id,source_locality_name,source_kalpi,pdf_source,scanned_address,place,notes
K17,7843,שפרעם,100,part 1 page 83,0,"בי""ס טכנולוגי עמל -",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,7844,שפרעם,110,part 1 pages 83-84,0,"בי""ס אלבורג'",manual visual transcription of K17 scanned polling-place list
K17,7845,שפרעם,120,part 1 page 84,0,"בי""ס ממלכתי ב' ע""ש ג",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,7846,שפרעם,130,part 1 page 84,0,"בי""ס ממלכתי ב' ע""ש ג",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,7847,שפרעם,140,part 1 page 84,0,"בי""ס ממלכתי ב' ע""ש ג",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,7848,שפרעם,150,part 1 page 84,0,"בי""ס תיכון עירוני שפ",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,7849,שפרעם,160,part 1 page 84,0,"בי""ס תיכון עירוני שפ",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,7850,שפרעם,170,part 1 page 84,0,"בי""ס תיכון עירוני שפ",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,7851,שפרעם,180,part 1 page 84,0,"בי""ס חט""ב ע""ש עאטף ח",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,7852,שפרעם,190,part 1 page 84,0,"בי""ס מקיף עירוני א'",manual visual transcription of K17 scanned polling-place list
K17,7853,שפרעם,200,part 1 page 84,0,"בי""ס מקיף עירוני א'",manual visual transcription of K17 scanned polling-place list
K17,7854,שפרעם,210,part 1 pages 83-84,0,"בי""ס ממלכתי ה' - שכ",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,7855,שפרעם,220,part 1 page 84,0,"בי""ס ממלכתי ג' - אלפ",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,7856,שפרעם,230,part 1 page 84,0,"בי""ס ממלכתי ג' - אלפ",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,7857,שפרעם,240,part 1 page 84,0,"בי""ס ממלכתי ו' (אל מ",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,7858,שפרעם,250,part 1 pages 83-84,0,"בי""ס ממלכתי א' - אלע",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,7859,שפרעם,260,part 1 page 84,0,"בי""ס ממלכתי ו' (אל מ",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
