source_code,source_name,source_name_variants,elections,election_count,result_rows,eligible,voters,initial_bucket,candidate_target_codes,candidate_target_names,candidate_stat_counts,resolution_status,reviewed_target_code,reviewed_target_name,reviewed_rule,notes
"964","קודייראת א-צאנע(שבט)","קודייראת א-צאנע(ש | קודייראת א-צאנע(שבט) | קודייראת א-צאנע)ש | קודייראת אצאנעשבט","K16 K18 K19 K20 K21 K22 K23 K24 K25","9","20","10918","2805","code_absent_no_name_candidate","","","","unreviewed","","","",""
"3637","מעלה שומרון","מעלה שומרון","K16 K18 K19 K20 K21 K22 K23","7","7","3620","2779","code_absent_no_name_candidate","","","","unreviewed","","","",""
"956","הוזייל )שבט(","הוזייל (שבט) | הוזייל )שבט( | הוזייל שבט","K16 K18 K19 K20 K21 K22 K23 K24 K25","9","18","8872","2738","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","דבוריה","דבוריה","K17","1","6","","2681","name_only_probable_spelling_or_spacing_match","489","דבורייה","3","unreviewed","","","",""
"","קרית ארבע","קרית ארבע","K17","1","7","","2649","name_only_probable_spelling_or_spacing_match","3611","קריית ארבע","1","unreviewed","","","",""
"1234","קבועה )שבט(","קבועה (שבט) | קבועה )שבט( | קבועה שבט","K16 K18 K19 K20 K21 K22 K23 K24 K25","9","11","5800","2522","code_absent_no_name_candidate","","","","unreviewed","","","",""
"1306","צור יגאל","צור יגאל","K16","1","4","3099","2446","code_absent_no_name_candidate","","","","unreviewed","","","",""
"1308","צורן","צורן","K16","1","4","2867","2240","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","סביון","סביון","K17","1","5","","2034","name_only_probable_spelling_or_spacing_match","587","סביון*","1","unreviewed","","","",""
"3400","חברון","חברון","K16 K18 K19 K20 K21 K22 K23 K24 K25","9","9","2589","1986","code_absent_no_name_candidate","","","","unreviewed","","","",""
"1049","רמת אפעל","רמת אפעל","K16","1","4","2449","1895","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","רמת אפעל","רמת אפעל","K17","1","4","","1861","needs_research","","","","unreviewed","","","",""
"1062","נווה אפרים","נווה אפרים","K16","1","4","2283","1651","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","בית אריה","בית אריה","K17","1","4","","1524","needs_research","","","","unreviewed","","","",""
"","קציר-חריש","קציר-חריש","K17","1","3","","1404","needs_research","","","","unreviewed","","","",""
