source_row_uid,election,source_locality_code,source_locality_name,source_kalpi,actual_voters,candidate_stat_area_id,evidence_method,evidence_elections,source_workbooks,known_assignment_evidence
K24:9580,K24,2710,אום אלפחם,43.3,177,stat2011:27100011,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K24:9581,K24,2710,אום אלפחם,43.4,196,stat2011:27100011,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K24:9582,K24,2710,אום אלפחם,44.1,199,stat2011:27100013,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9583,K24,2710,אום אלפחם,44.2,198,stat2011:27100013,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9584,K24,2710,אום אלפחם,44.3,210,stat2011:27100013,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9585,K24,2710,אום אלפחם,44.4,184,stat2011:27100013,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9586,K24,2710,אום אלפחם,46.1,176,stat2011:27100012,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K24:9587,K24,2710,אום אלפחם,46.2,152,stat2011:27100012,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K24:9588,K24,2710,אום אלפחם,46.3,191,stat2011:27100012,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K24:9589,K24,2710,אום אלפחם,46.4,168,stat2011:27100012,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K24:9590,K24,2710,אום אלפחם,48.1,183,stat2011:27100034,cbs_stable_ballot_from_official_cec_ags,K23,stable_ballots_k24.xlsx,K23:official_cec_ags
K24:9591,K24,2710,אום אלפחם,48.2,193,stat2011:27100034,cbs_stable_ballot_from_official_cec_ags,K23,stable_ballots_k24.xlsx,K23:official_cec_ags
K24:9592,K24,2710,אום אלפחם,48.3,225,stat2011:27100034,cbs_stable_ballot_from_official_cec_ags,K23,stable_ballots_k24.xlsx,K23:official_cec_ags
K24:9593,K24,2710,אום אלפחם,48.4,197,stat2011:27100034,cbs_stable_ballot_from_official_cec_ags,K23,stable_ballots_k24.xlsx,K23:official_cec_ags
K24:9594,K24,2710,אום אלפחם,48.5,181,stat2011:27100034,cbs_stable_ballot_from_official_cec_ags,K23,stable_ballots_k24.xlsx,K23:official_cec_ags
K24:9595,K24,2710,אום אלפחם,48.6,177,stat2011:27100034,cbs_stable_ballot_from_official_cec_ags,K23,stable_ballots_k24.xlsx,K23:official_cec_ags
K24:9596,K24,2710,אום אלפחם,49,217,stat2011:27100033,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9597,K24,2710,אום אלפחם,50,174,stat2011:27100033,cbs_stable_ballot_cross_election_carry,K25,stable_ballots_k25.xlsx,K25:official
K24:9598,K24,2710,אום אלפחם,51.1,193,stat2011:27100015,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9599,K24,2710,אום אלפחם,51.2,209,stat2011:27100015,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9600,K24,2710,אום אלפחם,51.3,190,stat2011:27100015,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9601,K24,2710,אום אלפחם,51.4,202,stat2011:27100015,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9602,K24,2710,אום אלפחם,51.5,221,stat2011:27100015,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9603,K24,2710,אום אלפחם,51.6,183,stat2011:27100015,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9604,K24,2710,אום אלפחם,52,194,stat2011:27100031,cbs_stable_ballot_cross_election_consensus,K23|K25,stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K23:official_cec_ags|K25:official
K24:9605,K24,2710,אום אלפחם,55,189,stat2011:27100032,cbs_stable_ballot_cross_election_consensus,K22|K23|K25,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K22:official|K23:official_cec_ags|K25:official
K24:9606,K24,2710,אום אלפחם,57,165,stat2011:27100031,cbs_stable_ballot_cross_election_consensus,K23|K25,stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K23:official_cec_ags|K25:official
K24:9607,K24,2710,אום אלפחם,59,175,stat2011:27100033,cbs_stable_ballot_cross_election_carry,K25,stable_ballots_k25.xlsx,K25:official
K25:6357,K25,3797,מודיעין עילית,47,490,stat2011:37970009,cbs_stable_ballot_cross_election_carry,K24,stable_ballots_k25.xlsx,K24:official
