source_row_uid,election,source_locality_code,source_locality_name,source_kalpi,actual_voters,candidate_stat_area_id,evidence_method,evidence_elections,source_workbooks,known_assignment_evidence
K20:125,K20,2710,אום אל-פחם,47,420,stat2011:27100022,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx,K21:official|K22:official|K23:official_cec_ags
K20:126,K20,2710,אום אל-פחם,48,492,stat2011:27100034,cbs_stable_ballot_cross_election_carry,K21,stable_ballots_k21.xlsx,K21:official
K20:127,K20,2710,אום אל-פחם,49,376,stat2011:27100033,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K20:128,K20,2710,אום אל-פחם,50,405,stat2011:27100033,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx,K21:official|K22:official|K23:official_cec_ags
K20:129,K20,2710,אום אל-פחם,51,348,stat2011:27100015,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K20:2369,K20,494,דאלית אל-כרמל,2,454,stat2011:4940003,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K20:2380,K20,494,דאלית אל-כרמל,13,414,stat2011:4940003,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx,K21:official|K22:official|K23:official_cec_ags
K20:83,K20,2710,אום אל-פחם,3,443,stat2011:27100014,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx,K21:official|K22:official|K23:official_cec_ags
K20:84,K20,2710,אום אל-פחם,4,433,stat2011:27100015,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx,K21:official|K22:official|K23:official_cec_ags
K20:85,K20,2710,אום אל-פחם,5,355,stat2011:27100015,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx,K21:official|K22:official|K23:official_cec_ags
K20:86,K20,2710,אום אל-פחם,6,376,stat2011:27100012,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx,K21:official|K22:official|K23:official_cec_ags
K20:87,K20,2710,אום אל-פחם,7,256,stat2011:27100013,cbs_stable_ballot_cross_election_carry,K21,stable_ballots_k21.xlsx,K21:official
K20:88,K20,2710,אום אל-פחם,8,349,stat2011:27100013,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx,K21:official|K22:official|K23:official_cec_ags
K20:89,K20,2710,אום אל-פחם,9,428,stat2011:27100011,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx,K21:official|K22:official|K23:official_cec_ags
K20:91,K20,2710,אום אל-פחם,11,418,stat2011:27100031,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K20:92,K20,2710,אום אל-פחם,12,401,stat2011:27100031,cbs_stable_ballot_cross_election_consensus,K21|K22,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx,K21:official|K22:official
K20:94,K20,2710,אום אל-פחם,14,327,stat2011:27100022,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K20:96,K20,2710,אום אל-פחם,16,310,stat2011:27100021,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx,K21:official|K22:official|K23:official_cec_ags
K20:97,K20,2710,אום אל-פחם,17,438,stat2011:27100021,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx,K21:official|K22:official|K23:official_cec_ags
