election,source_row_uid,source_locality_code,source_locality_name,source_kalpi,eligible_voters,actual_voters,valid_votes,invalid_votes,candidate_stat_area_id,candidate_yishuv_stat,candidate_stat_area_number,arcgis_source_area_ids,source_granularity,proof_status,proof_metrics,evidence_tier,assignment_applied,source,review_decision,review_evidence_tier,review_candidate_rows,review_candidate_actual_voters,candidate_assignment_sha256,reviewed_on,review_basis
K21,K21:7559,1192,ערערה-בנגב,9,686,424,424,0,stat2011:11920001,11920001,1,11920001,detailed_statistical_area,unique_exact_partition,ballot_count|eligible_voters|actual_voters,A,True,data/raw/arcgis/elections2019_statistical_areas.geojson,approved,A,3,965,821a2c626643b7597cd386d9955fcd57a586e053afc293c09ea75787a8ec9e88,2026-07-18,unique_exact_residual_partition_all_area_and_party_totals
K21,K21:7560,1192,ערערה-בנגב,10,718,265,264,1,stat2011:11920001,11920001,1,11920001,detailed_statistical_area,unique_exact_partition,ballot_count|eligible_voters|actual_voters,A,True,data/raw/arcgis/elections2019_statistical_areas.geojson,approved,A,3,965,821a2c626643b7597cd386d9955fcd57a586e053afc293c09ea75787a8ec9e88,2026-07-18,unique_exact_residual_partition_all_area_and_party_totals
K21,K21:7561,1192,ערערה-בנגב,11,629,276,272,4,stat2011:11920001,11920001,1,11920001,detailed_statistical_area,unique_exact_partition,ballot_count|eligible_voters|actual_voters,A,True,data/raw/arcgis/elections2019_statistical_areas.geojson,approved,A,3,965,821a2c626643b7597cd386d9955fcd57a586e053afc293c09ea75787a8ec9e88,2026-07-18,unique_exact_residual_partition_all_area_and_party_totals
K21,K21:4218,3000,ירושלים,33.1,610,458,456,2,stat2011:30001221,30001221,1221,30001221,detailed_statistical_area,unique_exact_partition,ballot_count|eligible_voters|actual_voters,C,True,data/raw/arcgis/elections2019_statistical_areas.geojson,approved,C,6,2634,254a2e502a205c54231419930b6729ea26eed7a999f846eeb0916a278fc7b141,2026-07-18,unique_exact_isolated_residual_partition_with_unrelated_source_deltas
K21,K21:4219,3000,ירושלים,33.2,610,430,430,0,stat2011:30001221,30001221,1221,30001221,detailed_statistical_area,unique_exact_partition,ballot_count|eligible_voters|actual_voters,C,True,data/raw/arcgis/elections2019_statistical_areas.geojson,approved,C,6,2634,254a2e502a205c54231419930b6729ea26eed7a999f846eeb0916a278fc7b141,2026-07-18,unique_exact_isolated_residual_partition_with_unrelated_source_deltas
K21,K21:4220,3000,ירושלים,33.3,610,448,448,0,stat2011:30001221,30001221,1221,30001221,detailed_statistical_area,unique_exact_partition,ballot_count|eligible_voters|actual_voters,C,True,data/raw/arcgis/elections2019_statistical_areas.geojson,approved,C,6,2634,254a2e502a205c54231419930b6729ea26eed7a999f846eeb0916a278fc7b141,2026-07-18,unique_exact_isolated_residual_partition_with_unrelated_source_deltas
K21,K21:4221,3000,ירושלים,33.4,610,431,430,1,stat2011:30001221,30001221,1221,30001221,detailed_statistical_area,unique_exact_partition,ballot_count|eligible_voters|actual_voters,C,True,data/raw/arcgis/elections2019_statistical_areas.geojson,approved,C,6,2634,254a2e502a205c54231419930b6729ea26eed7a999f846eeb0916a278fc7b141,2026-07-18,unique_exact_isolated_residual_partition_with_unrelated_source_deltas
K21,K21:4222,3000,ירושלים,33.5,610,424,423,1,stat2011:30001221,30001221,1221,30001221,detailed_statistical_area,unique_exact_partition,ballot_count|eligible_voters|actual_voters,C,True,data/raw/arcgis/elections2019_statistical_areas.geojson,approved,C,6,2634,254a2e502a205c54231419930b6729ea26eed7a999f846eeb0916a278fc7b141,2026-07-18,unique_exact_isolated_residual_partition_with_unrelated_source_deltas
K21,K21:4223,3000,ירושלים,33.6,607,443,441,2,stat2011:30001221,30001221,1221,30001221,detailed_statistical_area,unique_exact_partition,ballot_count|eligible_voters|actual_voters,C,True,data/raw/arcgis/elections2019_statistical_areas.geojson,approved,C,6,2634,254a2e502a205c54231419930b6729ea26eed7a999f846eeb0916a278fc7b141,2026-07-18,unique_exact_isolated_residual_partition_with_unrelated_source_deltas
