election,rows,actual_voters,mapped_rows,mapped_actual_voters,stat_area_rows,custom_geography_rows,arcgis_reconstructed_rows,arcgis_reconstructed_actual_voters,stable_ballot_assigned_rows,stable_ballot_assigned_actual_voters,official_cec_ags_assigned_rows,official_cec_ags_assigned_actual_voters,reviewed_historical_override_rows,reviewed_historical_override_actual_voters,locality_mapped_rows,locality_mapped_actual_voters,statistical_area_pending_rows,statistical_area_pending_actual_voters,envelope_rows,special_non_geographic_rows,unresolved_rows,historical_unresolved_rows
K25,12545,4794593,10893,4071493,10893,0,0,0,1,490,0,0,0,0,11699,4331026,806,259533,838,8,0,806
K24,12926,4436365,11251,3797858,11251,0,0,0,87,17082,0,0,0,0,12119,4010014,868,212156,799,8,0,868
K23,11179,4615135,10006,3987638,10006,0,0,0,0,0,74,29685,0,0,10623,4284014,617,296376,548,8,0,617
K22,10901,4465168,9922,3916554,9922,0,0,0,1,344,0,0,0,0,10531,4181911,609,265357,362,8,0,609
K21,10765,4340253,9855,3873599,9855,0,9,3599,0,0,0,0,0,0,10452,4098524,597,224925,305,8,0,597
K20,10414,4254738,9545,3760120,9545,0,0,0,43,16676,0,0,0,0,10112,4019324,567,259204,295,7,0,567
K19,10109,3833646,9317,3404763,9317,0,0,0,2,537,0,0,5,2024,9875,3617176,558,212413,228,6,0,558
K18,9264,3416587,8741,3040009,8693,48,0,0,0,0,0,0,0,0,9259,3229261,518,189252,1,4,0,518
K17,8426,3186739,7916,2875470,7872,44,0,0,0,0,0,0,0,0,8274,3011950,358,136480,149,3,0,358
