conflict_type,locality_code,ballot,elections,known_area_ids,source_workbooks,reason
2008_2011_transition,3797,1,K18|K19,stat2008:37970001|stat2011:37970001,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,3797,22,K18|K19,stat2008:37970002|stat2011:37970010,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,3797,23,K18|K19,stat2008:37970002|stat2011:37970010,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,3797,25,K18|K19,stat2008:37970001|stat2011:37970001,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,3797,6,K18|K19,stat2008:37970004|stat2011:37970004,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,4000,101,K18|K19,stat2008:40000416|stat2011:40000418,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,4000,142,K18|K19,stat2008:40000416|stat2011:40000418,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,4000,54,K18|K19,stat2008:40000312|stat2011:40000314,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,4000,55,K18|K19,stat2008:40000312|stat2011:40000314,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,4000,57,K18|K19,stat2008:40000313|stat2011:40000314,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,4000,72,K18|K19,stat2008:40000323|stat2011:40000324,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,4000,74,K18|K19,stat2008:40000322|stat2011:40000324,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,4000,90,K18|K19,stat2008:40000415|stat2011:40000418,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,156,K18|K19,stat2008:50000112|stat2011:50000117,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,212,K18|K19,stat2008:50000426|stat2011:50000427,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,213,K18|K19,stat2008:50000425|stat2011:50000427,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,214,K18|K19,stat2008:50000425|stat2011:50000427,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,219,K18|K19,stat2008:50000425|stat2011:50000427,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,323,K18|K19,stat2008:50000331|stat2011:50000338,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,324,K18|K19,stat2008:50000332|stat2011:50000338,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,325,K18|K19,stat2008:50000332|stat2011:50000338,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,326,K18|K19,stat2008:50000332|stat2011:50000338,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,497,K18|K19,stat2008:50000553|stat2011:50000557,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,506,K18|K19,stat2008:50000551|stat2011:50000557,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
