source_row_uid,election,source_locality_code,source_kalpi,target_stat_area_id,stat_area_vintage,evidence_status,evidence_sources,review_notes
K19:4037,K19,3000,157,stat2011:30000863,2011,reviewed_exact_stable_conflict_resolution,stable_ballots_k20.xls|k18_ballot_to_stat2008.xlsx|k20_ballot_to_stat2011.xlsx|elections2015_statistical_areas.geojson,K19 direct crosswalk says area 864; official unchanged-ballot evidence and the adjacent official K18/K20 assignments identify area 863.
K19:4582,K19,3000,958,stat2011:30001337,2011,reviewed_exact_stable_conflict_resolution,stable_ballots_k20.xls|k18_ballot_to_stat2008.xlsx|k20_ballot_to_stat2011.xlsx|elections2015_statistical_areas.geojson,K19 direct crosswalk says area 2612; official unchanged-ballot evidence and the adjacent official K18/K20 assignments identify area 1337.
K19:5351,K19,3797,12,stat2011:37970003,2011,reviewed_exact_stable_conflict_resolution,stable_ballots_k20.xls|k18_ballot_to_stat2008.xlsx|k20_ballot_to_stat2011.xlsx|elections2015_statistical_areas.geojson,K19 direct crosswalk says area 9; official unchanged-ballot evidence and the adjacent official K18/K20 assignments identify area 3.
K19:2819,K19,6600,3,stat2011:66000311,2011,reviewed_exact_stable_conflict_resolution,stable_ballots_k20.xls|k18_ballot_to_stat2008.xlsx|k20_ballot_to_stat2011.xlsx|elections2015_statistical_areas.geojson,K19 direct crosswalk says area 312; official unchanged-ballot evidence and the adjacent official K18/K20 assignments identify area 311.
K19:1204,K19,9000,223,stat2011:90000234,2011,reviewed_exact_stable_conflict_resolution,stable_ballots_k20.xls|k18_ballot_to_stat2008.xlsx|k20_ballot_to_stat2011.xlsx|elections2015_statistical_areas.geojson,K19 direct crosswalk says area 314; official unchanged-ballot evidence and the adjacent official K18/K20 assignments identify area 234.
