geography_id,geography_type,geography_package,geometry_archive,stat_area_id,stat_area_vintage,yishuv_stat,locality_id,locality_code,locality_name_he,locality_name_en,stat_area_number,geometry_source,display_geometry_source,display_mode,stat_2022,yishuv_stat_2022,ROVA,TAT_ROVA,COD_TIFKUD,Shape_Length,Shape_Area,stat_area_count,single_stat_area,has_function_code,composite_locality_id,elections,source_locality_name,name_he,name_en,component_locality_codes,note,composite_kind,host_locality_code,host_kalpi,evidence_status,evidence_method,included_locality_names_he,included_locality_names_en,component_locality_ids,custom_id,custom_key,lon,lat,radius_m,source_stat_area_id
stat1995:36001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:36001,1995.0,36001.0,loc:36,36.0,שדה דוד,SEDE DAWID,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:37001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:37001,1995.0,37001.0,loc:37,37.0,איתן,ETAN,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:39001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:39001,1995.0,39001.0,loc:39,39.0,גפן,GEFEN,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:41001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:41001,1995.0,41001.0,loc:41,41.0,אליכין,ELYAKHIN,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:43001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:43001,1995.0,43001.0,loc:43,43.0,מטולה,METULA,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:44001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:44001,1995.0,44001.0,loc:44,44.0,זוהר,ZOHAR,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:46001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:46001,1995.0,46001.0,loc:46,46.0,יבנאל,YAVNE'EL,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:47001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:47001,1995.0,47001.0,loc:47,47.0,כפר תבור,KEFAR TAVOR,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:48001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:48001,1995.0,48001.0,loc:48,48.0,מנחמיה,MENAHEMYA,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:49001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:49001,1995.0,49001.0,loc:49,49.0,אילניה,ILANIYYA,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:50001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:50001,1995.0,50001.0,loc:50,50.0,גבעת עדה,GIV'AT ADA,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:52001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:52001,1995.0,52001.0,loc:52,52.0,לוזית,LUZIT,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:53001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:53001,1995.0,53001.0,loc:53,53.0,עתלית,ATLIT,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:55001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:55001,1995.0,55001.0,loc:55,55.0,נוגה,NOGAH,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:57001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:57001,1995.0,57001.0,loc:57,57.0,(כנרת (קבוצה,KINNERET(QEVUZA),1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:58001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:58001,1995.0,58001.0,loc:58,58.0,מצפה,MIZPA,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:59001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:59001,1995.0,59001.0,loc:59,59.0,נחושה,NEHUSHA,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:62001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:62001,1995.0,62001.0,loc:62,62.0,'דגניה א,DEGANYA ALEF,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:63001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:63001,1995.0,63001.0,loc:63,63.0,(כנרת (מושבה,KINNERET(MOSHAVA),1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:64001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:64001,1995.0,64001.0,loc:64,64.0,"יד רמב""ם",YAD RAMBAM,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:65001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:65001,1995.0,65001.0,loc:65,65.0,מגדל,MIGDAL,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:66001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:66001,1995.0,66001.0,loc:66,66.0,(מרחביה (קיבוץ,MERHAVYA(QIBBUZ),1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:67001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:67001,1995.0,67001.0,loc:67,67.0,אור הנר,OR HANER,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:69001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:69001,1995.0,69001.0,loc:69,69.0,ניר עוז,NIR OZ,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70111,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70111,1995.0,70111.0,loc:70,70.0,אשדוד,ASHDOD,111.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70112,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70112,1995.0,70112.0,loc:70,70.0,אשדוד,ASHDOD,112.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70113,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70113,1995.0,70113.0,loc:70,70.0,אשדוד,ASHDOD,113.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70121,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70121,1995.0,70121.0,loc:70,70.0,אשדוד,ASHDOD,121.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70122,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70122,1995.0,70122.0,loc:70,70.0,אשדוד,ASHDOD,122.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70123,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70123,1995.0,70123.0,loc:70,70.0,אשדוד,ASHDOD,123.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70131,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70131,1995.0,70131.0,loc:70,70.0,אשדוד,ASHDOD,131.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70132,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70132,1995.0,70132.0,loc:70,70.0,אשדוד,ASHDOD,132.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70133,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70133,1995.0,70133.0,loc:70,70.0,אשדוד,ASHDOD,133.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70134,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70134,1995.0,70134.0,loc:70,70.0,אשדוד,ASHDOD,134.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70135,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70135,1995.0,70135.0,loc:70,70.0,אשדוד,ASHDOD,135.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70136,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70136,1995.0,70136.0,loc:70,70.0,אשדוד,ASHDOD,136.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70137,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70137,1995.0,70137.0,loc:70,70.0,אשדוד,ASHDOD,137.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70211,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70211,1995.0,70211.0,loc:70,70.0,אשדוד,ASHDOD,211.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70212,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70212,1995.0,70212.0,loc:70,70.0,אשדוד,ASHDOD,212.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70213,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70213,1995.0,70213.0,loc:70,70.0,אשדוד,ASHDOD,213.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70214,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70214,1995.0,70214.0,loc:70,70.0,אשדוד,ASHDOD,214.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70221,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70221,1995.0,70221.0,loc:70,70.0,אשדוד,ASHDOD,221.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70222,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70222,1995.0,70222.0,loc:70,70.0,אשדוד,ASHDOD,222.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70223,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70223,1995.0,70223.0,loc:70,70.0,אשדוד,ASHDOD,223.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70231,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70231,1995.0,70231.0,loc:70,70.0,אשדוד,ASHDOD,231.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70232,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70232,1995.0,70232.0,loc:70,70.0,אשדוד,ASHDOD,232.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70233,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70233,1995.0,70233.0,loc:70,70.0,אשדוד,ASHDOD,233.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70241,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70241,1995.0,70241.0,loc:70,70.0,אשדוד,ASHDOD,241.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70242,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70242,1995.0,70242.0,loc:70,70.0,אשדוד,ASHDOD,242.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70243,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70243,1995.0,70243.0,loc:70,70.0,אשדוד,ASHDOD,243.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70244,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70244,1995.0,70244.0,loc:70,70.0,אשדוד,ASHDOD,244.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70311,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70311,1995.0,70311.0,loc:70,70.0,אשדוד,ASHDOD,311.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70312,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70312,1995.0,70312.0,loc:70,70.0,אשדוד,ASHDOD,312.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70313,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70313,1995.0,70313.0,loc:70,70.0,אשדוד,ASHDOD,313.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70321,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70321,1995.0,70321.0,loc:70,70.0,אשדוד,ASHDOD,321.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70322,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70322,1995.0,70322.0,loc:70,70.0,אשדוד,ASHDOD,322.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70323,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70323,1995.0,70323.0,loc:70,70.0,אשדוד,ASHDOD,323.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
