election,geography_mode,geography_type,custom_geography_id,geography_id,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share
K21,locality,custom_geography,custom:hebron,custom:hebron,custom:hebron,1,1,285,226,226,0,0,0,0,0,21,0,0,0,0,157,0,0,0,0,1,0,1,17,1,21,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,טב,157.0,21.0,136.0,0.69469
K21,locality,custom_geography,custom:tribal_negev,custom:tribal_negev,custom:tribal_negev,60,60,34268,8724,8609,115,84,8,6965,374,8,2,1,0,9,12,4,2,3,6,23,13,4,77,284,23,11,0,19,5,3,5,4,421,7,9,5,8,13,21,10,0,14,8,13,8,9,20,94,דעם,6965.0,421.0,6544.0,0.809037
