election,geography_mode,geography_type,custom_geography_id,geography_id,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,אר,ב,ג,ד,ה,ו,זך,חי,ט,ים,ינ,יק,כן,ל,מחל,מרצ,נ,נפ,נץ,נר,עם,פ,פח,פי,פק,ץ,צי,ק,קנ,קפ,קץ,רק,שס
K18,statistical-area,custom_geography,custom:hebron,custom:hebron,custom:hebron,1,1,272,219,219,0,ט,179,15,164,0.817352,1,0,5,2,0,0,0,0,0,179,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
K18,statistical-area,custom_geography,custom:tribal_negev,custom:tribal_negev,custom:tribal_negev,40,40,20773,5093,4931,162,עם,3991,263,3728,0.809369,64,0,4,13,263,4,75,7,7,5,28,4,12,53,30,56,48,6,4,7,10,3991,3,0,17,14,8,17,21,12,18,18,28,84
K18,locality,custom_geography,custom:hebron,custom:hebron,custom:hebron,1,1,272,219,219,0,ט,179,15,164,0.817352,1,0,5,2,0,0,0,0,0,179,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
K18,locality,custom_geography,custom:tribal_negev,custom:tribal_negev,custom:tribal_negev,40,40,20773,5093,4931,162,עם,3991,263,3728,0.809369,64,0,4,13,263,4,75,7,7,5,28,4,12,53,30,56,48,6,4,7,10,3991,3,0,17,14,8,17,21,12,18,18,28,84
