election,geography_mode,geography_type,custom_geography_id,geography_id,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
K17,statistical-area,custom_geography,custom:hebron,custom:hebron,custom:hebron,1,1,266,225,225,0,טב,132,80,52,0.586667,0,0,0,0,0,0,0,0,0,132,0,80,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
K17,statistical-area,custom_geography,custom:tribal_negev,custom:tribal_negev,custom:tribal_negev,43,6,22261,6104,5931,173,עם,3815,686,3129,0.64323,686,10,247,1,287,1,6,12,14,16,8,7,348,3,19,41,109,13,3815,2,8,8,19,4,14,33,35,22,27,22,94
K17,locality,custom_geography,custom:hebron,custom:hebron,custom:hebron,1,1,266,225,225,0,טב,132,80,52,0.586667,0,0,0,0,0,0,0,0,0,132,0,80,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
K17,locality,custom_geography,custom:tribal_negev,custom:tribal_negev,custom:tribal_negev,43,6,22261,6104,5931,173,עם,3815,686,3129,0.64323,686,10,247,1,287,1,6,12,14,16,8,7,348,3,19,41,109,13,3815,2,8,8,19,4,14,33,35,22,27,22,94
