source_row_uid,election,election_number,source_row_id,source_order,source_locality_code,source_locality_name,source_kalpi,eligible_voters,actual_voters,valid_votes,invalid_votes,is_envelope,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,locality_assignment_status,locality_geography_type,locality_geography_id,locality_result_code,locality_result_name,is_locality_mapped,custom_geography_id,is_mapped,is_geographic,final_assignment_method,final_assignment_source,assignment_evidence_class,assignment_confidence,assignment_is_synthetic_link,unresolved_reason
K17:4710,K17,17,4710,4710,,תל אביב - יפו,4260,569,304,301,3,False,88,3,0,0,4,0,0,27,2,7,3,1,55,0,3,21,48,0,0,1,0,0,0,0,0,1,0,11,0,24,2,official_crosswalk_assigned,statistical_area,stat1995:5000517,stat1995:5000517,1995,5000517,517,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4711,K17,17,4711,4711,,תל אביב - יפו,4270,844,527,521,6,False,133,19,0,0,11,0,0,38,3,12,1,0,143,0,8,29,68,0,0,7,0,0,1,0,0,3,1,20,0,16,8,official_crosswalk_assigned,statistical_area,stat1995:5000517,stat1995:5000517,1995,5000517,517,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4712,K17,17,4712,4712,,תל אביב - יפו,4280,836,511,507,4,False,136,16,0,0,5,0,0,52,2,12,0,3,122,1,14,35,80,0,0,1,0,0,1,0,0,0,0,9,0,10,8,official_crosswalk_assigned,statistical_area,stat1995:5000517,stat1995:5000517,1995,5000517,517,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4713,K17,17,4713,4713,,תל אביב - יפו,4290,720,465,462,3,False,113,7,1,0,12,0,0,36,3,6,0,0,118,0,7,24,81,1,0,6,0,0,0,0,0,0,0,11,0,28,8,official_crosswalk_assigned,statistical_area,stat1995:5000517,stat1995:5000517,1995,5000517,517,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4714,K17,17,4714,4714,,תל אביב - יפו,4320,544,321,316,5,False,71,10,0,0,7,1,0,26,2,11,0,0,74,0,4,26,42,0,0,5,0,0,1,0,0,0,0,12,1,14,9,official_crosswalk_assigned,statistical_area,stat1995:5000515,stat1995:5000515,1995,5000515,515,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4715,K17,17,4715,4715,,תל אביב - יפו,4330,820,530,526,4,False,125,24,2,0,10,0,0,41,6,13,0,0,120,0,9,30,88,0,0,5,0,0,0,0,0,2,0,23,0,21,7,official_crosswalk_assigned,statistical_area,stat1995:5000516,stat1995:5000516,1995,5000516,516,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4716,K17,17,4716,4716,,תל אביב - יפו,4340,666,383,379,4,False,116,4,0,0,8,0,0,43,1,10,1,2,78,0,4,17,56,0,0,4,0,0,1,0,0,1,0,22,0,6,5,official_crosswalk_assigned,statistical_area,stat1995:5000516,stat1995:5000516,1995,5000516,516,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4717,K17,17,4717,4717,,תל אביב - יפו,4350,585,356,354,2,False,109,5,0,0,4,0,0,32,2,9,1,3,71,0,9,17,59,2,1,3,0,0,0,0,0,0,0,8,0,14,5,official_crosswalk_assigned,statistical_area,stat1995:5000516,stat1995:5000516,1995,5000516,516,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4718,K17,17,4718,4718,,תל אביב - יפו,4360,723,419,414,5,False,105,3,0,0,5,0,0,37,4,6,0,0,90,0,9,24,72,1,0,4,0,0,0,0,0,3,0,21,0,19,11,official_crosswalk_assigned,statistical_area,stat1995:5000516,stat1995:5000516,1995,5000516,516,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4719,K17,17,4719,4719,,תל אביב - יפו,4370,751,495,489,6,False,139,9,0,0,12,0,0,42,2,15,0,1,116,0,2,34,64,1,0,5,0,0,0,0,0,0,0,16,0,21,10,official_crosswalk_assigned,statistical_area,stat1995:5000516,stat1995:5000516,1995,5000516,516,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
