geography_id,geography_type,geography_package,geometry_archive,stat_area_id,stat_area_vintage,yishuv_stat,locality_id,locality_code,locality_name_he,locality_name_en,stat_area_number,geometry_source,display_geometry_source
stat2011:10610041,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10610041,2011,10610041,loc:1061,1061,נוף הגליל,NOF HAGALIL,41,official_cbs,official_cbs
stat2011:10610042,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10610042,2011,10610042,loc:1061,1061,נוף הגליל,NOF HAGALIL,42,official_cbs,official_cbs
stat2011:10610043,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10610043,2011,10610043,loc:1061,1061,נוף הגליל,NOF HAGALIL,43,official_cbs,official_cbs
stat2011:10630001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10630001,2011,10630001,loc:1063,1063,מעלות-תרשיחא,MA'ALOT-TARSHIHA,1,official_cbs,official_cbs
stat2011:10630002,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10630002,2011,10630002,loc:1063,1063,מעלות-תרשיחא,MA'ALOT-TARSHIHA,2,official_cbs,official_cbs
stat2011:10630003,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10630003,2011,10630003,loc:1063,1063,מעלות-תרשיחא,MA'ALOT-TARSHIHA,3,official_cbs,official_cbs
stat2011:10630004,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10630004,2011,10630004,loc:1063,1063,מעלות-תרשיחא,MA'ALOT-TARSHIHA,4,official_cbs,official_cbs
stat2011:10630005,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10630005,2011,10630005,loc:1063,1063,מעלות-תרשיחא,MA'ALOT-TARSHIHA,5,official_cbs,official_cbs
stat2011:10630006,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10630006,2011,10630006,loc:1063,1063,מעלות-תרשיחא,MA'ALOT-TARSHIHA,6,official_cbs,official_cbs
stat2011:10640001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10640001,2011,10640001,loc:1064,1064,אמירים,AMIRIM,1,official_cbs,official_cbs
stat2011:10650001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10650001,2011,10650001,loc:1065,1065,זמרת,ZIMRAT,1,official_cbs,official_cbs
stat2011:10660001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10660001,2011,10660001,loc:1066,1066,"בני עי""ש",BENE AYISH,1,official_cbs,official_cbs
stat2011:10670001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10670001,2011,10670001,loc:1067,1067,"דוב""ב",DOVEV,1,official_cbs,official_cbs
stat2011:10680001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10680001,2011,10680001,loc:1068,1068,אדמית,ADAMIT,1,official_cbs,official_cbs
stat2011:10690001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10690001,2011,10690001,loc:1069,1069,רם-און,RAM-ON,1,official_cbs,official_cbs
