geography_id,geography_type,geography_package,geometry_archive,locality_code,locality_name_he,locality_name_en,stat_2022,yishuv_stat_2022,ROVA,TAT_ROVA,COD_TIFKUD,Shape_Length,Shape_Area,locality_id,stat_area_id
stat2022:3710001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,371,כדורי,KADOORIE,1.0,3710001,,,5.0,2754.9759344264344,425477.1128851283,loc:371,stat2022:3710001
stat2022:3720001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,372,רמות נפתלי,RAMOT NAFTALI,1.0,3720001,,,1.0,4718.885703147774,787317.5716239612,loc:372,stat2022:3720001
stat2022:3730001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,373,בית הלוי,BET HALEWI,1.0,3730001,,,1.0,4707.891922290605,1135040.1026485004,loc:373,stat2022:3730001
stat2022:3740001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,374,חוקוק,HUQOQ,1.0,3740001,,,1.0,3187.086100895779,426439.57359035185,loc:374,stat2022:3740001
stat2022:3750001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,375,מגל,MAGGAL,1.0,3750001,,,1.0,3972.5080001816264,648709.4833926824,loc:375,stat2022:3750001
stat2022:3760001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,376,עברון,EVRON,1.0,3760001,,,1.0,3407.128902865008,535443.0046838258,loc:376,stat2022:3760001
stat2022:3770001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,377,המעפיל,HAMA'PIL,1.0,3770001,,,1.0,2568.542366150843,419585.5899942336,loc:377,stat2022:3770001
stat2022:3780001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,378,משגב עם,MISGAV AM,1.0,3780001,,,1.0,2076.205407635938,248236.14920797982,loc:378,stat2022:3780001
stat2022:3790001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,379,גאולים,GE'ULIM,1.0,3790001,,,1.0,7470.726392087631,2273947.465841436,loc:379,stat2022:3790001
stat2022:3800001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,380,להבות הבשן,LAHAVOT HABASHAN,1.0,3800001,,,1.0,4284.533167626847,728527.7453998403,loc:380,stat2022:3800001
stat2022:3820001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,382,מכמורת,MIKHMORET,1.0,3820001,,,1.0,4537.84487095649,628124.9464584078,loc:382,stat2022:3820001
stat2022:3830001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,383,"עין הנצי""ב",EN HANAZIV,1.0,3830001,,,1.0,4203.1206780471575,872349.9531992609,loc:383,stat2022:3830001
stat2022:3850001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,385,עמיעד,AMMI'AD,1.0,3850001,,,1.0,3356.4978823481215,639960.9448010564,loc:385,stat2022:3850001
stat2022:3860001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,386,בני דרור,BENE DEROR,1.0,3860001,,,1.0,4172.473114229408,733843.6152363662,loc:386,stat2022:3860001
stat2022:3870001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,387,כפר מונש,KEFAR MONASH,1.0,3870001,,,1.0,4447.342038754663,1039370.7401655642,loc:387,stat2022:3870001
stat2022:3880001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,388,כפר קיש,KEFAR KISCH,1.0,3880001,,,1.0,5454.5676397581765,998344.6540764368,loc:388,stat2022:3880001
stat2022:3890001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,389,בצרה,BAZRA,1.0,3890001,,,1.0,5515.234761523658,1307560.398148038,loc:389,stat2022:3890001
stat2022:3900001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,390,רגבה,REGBA,1.0,3900001,,,1.0,4447.58290275277,888811.926338441,loc:390,stat2022:3900001
