geography_id,geography_type,geography_package,geometry_archive,stat_area_id,stat_area_vintage,yishuv_stat,locality_id,locality_code,locality_name_he,locality_name_en,stat_area_number,geometry_source,display_geometry_source
stat2008:70001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:70001,2008,70001,loc:7,7,שחר,SHAHAR,1,official_cbs,official_cbs
stat2008:100001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:100001,2008,100001,loc:10,10,תירוש,TIROSH,1,official_cbs,official_cbs
stat2008:110001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:110001,2008,110001,loc:11,11,ניר חן,NIR HEN,1,official_cbs,official_cbs
stat2008:130001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:130001,2008,130001,loc:13,13,חצבה,HAZEVA,1,official_cbs,official_cbs
stat2008:150001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:150001,2008,150001,loc:15,15,נועם,NO'AM,1,official_cbs,official_cbs
stat2008:160001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:160001,2008,160001,loc:16,16,בית ניר,BET NIR,1,official_cbs,official_cbs
stat2008:180001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:180001,2008,180001,loc:18,18,שדה משה,SEDE MOSHE,1,official_cbs,official_cbs
stat2008:210001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:210001,2008,210001,loc:21,21,באר אורה,BE'ER ORA,1,official_cbs,official_cbs
stat2008:220001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:220001,2008,220001,loc:22,22,מקווה ישראל,MIQWE YISRA'EL,1,official_cbs,official_cbs
stat2008:230001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:230001,2008,230001,loc:23,23,אמציה,AMAZYA,1,official_cbs,official_cbs
stat2008:240001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:240001,2008,240001,loc:24,24,לכיש,LAKHISH,1,official_cbs,official_cbs
stat2008:260001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:260001,2008,260001,loc:26,26,ראש פינה,ROSH PINNA,1,official_cbs,official_cbs
stat2008:270001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:270001,2008,270001,loc:27,27,שדות מיכה,SEDOT MIKHA,1,official_cbs,official_cbs
stat2008:280001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:280001,2008,280001,loc:28,28,מזכרת בתיה,MAZKERET BATYA,1,official_cbs,official_cbs
stat2008:290001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:290001,2008,290001,loc:29,29,יסוד המעלה,YESUD HAMA'ALA,1,official_cbs,official_cbs
stat2008:310001,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:310001,2008,310001,loc:31,31,אופקים,OFAQIM,1,official_cbs,official_cbs
stat2008:310002,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:310002,2008,310002,loc:31,31,אופקים,OFAQIM,2,official_cbs,official_cbs
stat2008:310003,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:310003,2008,310003,loc:31,31,אופקים,OFAQIM,3,official_cbs,official_cbs
stat2008:310004,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:310004,2008,310004,loc:31,31,אופקים,OFAQIM,4,official_cbs,official_cbs
stat2008:310005,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:310005,2008,310005,loc:31,31,אופקים,OFAQIM,5,official_cbs,official_cbs
stat2008:310006,statistical_area,statistical_areas_2008,geographies/statistical_areas_2008.zip,stat2008:310006,2008,310006,loc:31,31,אופקים,OFAQIM,6,official_cbs,official_cbs
