source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס,unresolved_reason
K22:401,K22,401,478,אכסאל,2,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,775,502,500,2,0,0,486,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,6,0,0,1,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:402,K22,402,478,אכסאל,3,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,662,370,367,3,1,0,350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,12,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:403,K22,403,478,אכסאל,4,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,688,414,410,4,1,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,1,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:404,K22,404,478,אכסאל,5,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,722,465,460,5,1,0,437,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,3,1,0,0,12,0,0,2,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:405,K22,405,478,אכסאל,6,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,721,451,447,4,2,0,425,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,3,0,0,0,5,1,0,0,1,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:406,K22,406,478,אכסאל,7,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,653,403,401,2,2,0,377,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,11,0,1,0,0,0,0,0,0,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:407,K22,407,478,אכסאל,8,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,705,418,417,1,0,0,397,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,5,0,0,0,6,0,0,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:408,K22,408,478,אכסאל,9,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,768,451,443,8,1,0,417,0,1,0,0,0,0,0,0,1,0,0,1,1,0,4,5,1,0,0,6,0,0,3,0,1,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:409,K22,409,478,אכסאל,10,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,794,519,516,3,0,0,509,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:410,K22,410,478,אכסאל,11,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,756,445,444,1,0,0,414,0,0,0,0,0,0,1,0,0,0,0,1,1,0,9,6,0,0,0,10,0,0,1,0,0,0,1,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
