source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס,address_match_status,address_query,unresolved_reason
K19:362,K19,362,478,אכסאל,2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,633,298,293,5,2,1,27,0,0,0,101,0,0,0,0,1,0,13,10,0,0,0,0,120,0,1,0,0,0,0,0,1,2,0,1,0,0,13,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:363,K19,363,478,אכסאל,3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,667,291,288,3,6,3,62,0,0,0,95,0,0,0,0,0,0,3,5,0,0,1,0,93,0,5,0,0,0,0,0,0,2,0,0,0,0,13,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:364,K19,364,478,אכסאל,4,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,738,359,356,3,2,0,51,0,1,0,145,0,0,0,0,0,1,9,38,0,0,0,0,96,0,1,0,0,0,0,0,0,3,0,0,0,0,9,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:365,K19,365,478,אכסאל,5,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,702,342,339,3,2,0,66,0,0,0,119,0,0,0,0,0,0,1,23,0,0,1,0,95,0,6,0,1,0,0,0,0,1,0,0,0,1,23,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:366,K19,366,478,אכסאל,6,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,723,350,345,5,1,2,32,0,0,0,124,0,0,1,0,0,0,13,9,0,0,0,0,135,2,2,0,0,0,1,0,0,5,1,0,0,1,16,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:367,K19,367,478,אכסאל,7,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,761,364,351,13,2,0,77,0,1,1,124,2,0,0,0,0,0,5,20,0,0,0,0,95,0,4,0,0,0,1,1,1,1,0,1,0,0,15,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:368,K19,368,478,אכסאל,8,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,723,342,336,6,4,0,41,0,0,0,104,0,0,0,0,0,0,15,22,0,0,0,0,123,0,3,0,0,0,0,0,0,5,0,0,0,0,19,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:369,K19,369,478,אכסאל,9,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,616,292,292,0,0,0,65,0,0,0,94,0,0,0,1,0,0,4,26,0,0,0,0,85,0,3,0,0,0,0,0,0,4,0,0,0,0,10,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:370,K19,370,478,אכסאל,10,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,760,371,368,3,3,0,67,0,0,0,197,0,0,0,0,0,0,3,9,0,0,0,1,74,0,3,0,0,0,0,1,0,0,0,0,0,1,9,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K19:371,K19,371,478,אכסאל,11,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,765,318,318,0,4,0,72,0,0,0,90,0,0,0,0,0,0,20,20,0,0,0,0,85,0,5,0,0,0,1,0,1,4,0,0,0,1,15,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
