source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,אר,ב,ג,ד,ה,ו,זך,חי,ט,ים,ינ,יק,כן,ל,מחל,מרצ,נ,נפ,נץ,נר,עם,פ,פח,פי,פק,ץ,צי,ק,קנ,קפ,קץ,רק,שס,unresolved_reason
K18:340,K18,340,478,אכסאל,5,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,650,298,296,2,7,0,0,1,104,0,109,0,0,0,0,0,0,4,0,0,16,0,1,0,0,47,1,0,0,0,1,0,2,0,1,0,0,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:341,K18,341,478,אכסאל,6,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,679,258,251,7,2,0,0,1,43,0,86,0,0,1,1,0,0,1,0,1,3,0,0,0,0,107,2,0,0,0,2,0,0,1,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:342,K18,342,478,אכסאל,7,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,657,266,265,1,2,0,0,0,101,0,99,0,0,0,0,0,0,3,0,1,3,0,0,0,0,47,3,0,0,0,1,0,3,0,1,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:343,K18,343,478,אכסאל,8,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,674,248,244,4,3,0,0,0,43,0,77,0,0,0,0,0,0,5,0,0,1,0,0,0,0,112,3,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:344,K18,344,478,אכסאל,9,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,705,330,317,13,5,0,0,1,89,0,123,0,0,0,1,0,0,9,0,0,8,2,0,0,0,73,3,0,0,1,0,0,0,0,1,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:345,K18,345,478,אכסאל,10,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,675,333,329,4,2,0,0,1,62,0,194,0,0,0,0,0,0,4,1,0,1,0,0,0,0,59,0,0,0,1,1,0,2,1,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:420,K18,420,529,אעבלין,1,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,611,424,413,11,13,0,1,0,55,0,185,0,1,0,1,0,0,21,2,6,20,0,0,0,0,104,0,0,0,1,1,0,1,0,0,0,1,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:421,K18,421,529,אעבלין,2,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,739,407,403,4,20,0,0,0,89,0,135,0,24,0,0,0,0,54,3,1,8,0,0,0,0,66,0,0,1,0,1,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:422,K18,422,529,אעבלין,3,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,703,454,451,3,31,0,0,0,99,0,168,0,0,0,1,0,0,22,0,3,4,0,0,1,0,119,0,0,0,0,0,0,1,0,0,1,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:423,K18,423,529,אעבלין,4,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,619,412,409,3,22,0,0,0,79,0,163,0,1,0,0,0,0,15,1,2,3,0,0,0,0,121,0,0,0,1,0,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:424,K18,424,529,אעבלין,5,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,735,482,477,5,19,0,0,0,108,1,172,0,0,1,0,0,0,29,1,3,10,0,0,0,0,132,0,0,0,0,0,0,0,1,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:425,K18,425,529,אעבלין,6,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,672,400,393,7,2,0,0,0,52,0,127,0,2,0,2,0,0,9,1,2,1,0,0,0,0,182,0,0,0,0,5,0,1,2,3,1,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:426,K18,426,529,אעבלין,7,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,693,457,446,11,13,0,0,0,86,0,180,0,1,0,1,0,0,18,0,1,1,0,0,1,0,140,1,0,0,0,0,0,0,1,0,1,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:427,K18,427,529,אעבלין,8,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,670,378,374,4,15,0,0,0,81,0,146,1,1,0,0,0,0,19,1,6,2,0,0,0,0,98,0,0,0,0,1,0,1,1,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:428,K18,428,529,אעבלין,9,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,713,427,424,3,9,0,0,2,70,0,174,0,1,0,0,0,0,17,0,0,3,0,0,0,1,143,0,0,0,0,2,0,1,1,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:429,K18,429,529,אעבלין,10,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,688,468,452,16,20,0,0,2,49,0,259,0,0,3,1,0,0,13,0,1,6,1,0,0,0,95,0,0,0,0,0,0,1,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:729,K18,729,70,אשדוד,990,no_direct_historical_assignment,statistical_area_pending,,,,,,,70,אשדוד,,historical_stat_area_pending,automatic_code_match,229,17,17,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:885,K18,885,7100,אשקלון,990,no_direct_historical_assignment,statistical_area_pending,,,,,,,7100,אשקלון,,historical_stat_area_pending,automatic_code_match,144,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
