source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס,unresolved_reason
K21:1051,K21,1051,6000,באקה אל-גרביה,8,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,697,359,351,8,0,0,135,160,0,0,0,0,0,0,0,0,0,0,6,0,0,0,27,0,0,0,0,0,0,0,0,19,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1052,K21,1052,6000,באקה אל-גרביה,9,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,730,295,293,2,2,0,98,160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1053,K21,1053,6000,באקה אל-גרביה,10,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,718,311,310,1,0,0,120,151,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,2,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1054,K21,1054,6000,באקה אל-גרביה,11,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,683,313,308,5,5,0,77,166,0,0,0,0,0,0,0,0,0,1,0,0,0,2,35,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1055,K21,1055,6000,באקה אל-גרביה,12,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,713,294,285,9,1,0,80,138,0,0,0,0,0,0,0,0,0,0,1,0,0,3,37,0,0,0,0,0,0,0,0,18,0,0,1,0,0,1,2,0,1,0,0,0,0,2,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1056,K21,1056,6000,באקה אל-גרביה,13,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,673,306,303,3,1,0,79,160,1,0,0,0,0,0,0,0,0,0,3,0,0,2,39,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,3,0,0,0,0,0,0,3,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1057,K21,1057,6000,באקה אל-גרביה,14,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,690,333,324,9,4,0,89,166,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,1,0,0,0,0,15,0,0,0,0,0,1,3,0,0,2,0,0,1,1,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1058,K21,1058,6000,באקה אל-גרביה,15,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,725,281,278,3,7,0,87,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,1,1,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1059,K21,1059,6000,באקה אל-גרביה,16,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,637,294,286,8,0,0,72,158,0,0,0,0,0,0,0,0,0,0,1,1,0,3,31,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1060,K21,1060,6000,באקה אל-גרביה,17,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,724,338,332,6,3,0,107,174,0,0,0,0,0,0,0,0,0,0,2,0,0,1,30,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
