source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס,address_match_status,address_query,unresolved_reason
K20:83,K20,83,2710,אום אל-פחם,3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,579,443,441,2,1,5,430,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:84,K20,84,2710,אום אל-פחם,4,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,653,433,426,7,2,0,412,0,0,0,0,0,1,0,0,0,0,2,8,0,0,0,1,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:85,K20,85,2710,אום אל-פחם,5,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,597,355,354,1,1,0,345,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,1,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:86,K20,86,2710,אום אל-פחם,6,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,545,376,376,0,0,0,364,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,4,0,0,0,0,0,0,1,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:87,K20,87,2710,אום אל-פחם,7,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,512,256,256,0,1,0,251,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:88,K20,88,2710,אום אל-פחם,8,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,534,349,346,3,2,2,335,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:89,K20,89,2710,אום אל-פחם,9,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,519,428,424,4,3,0,414,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:90,K20,90,2710,אום אל-פחם,10,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,705,440,437,3,13,0,401,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,1,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:91,K20,91,2710,אום אל-פחם,11,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,629,418,411,7,0,0,405,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:92,K20,92,2710,אום אל-פחם,12,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,666,401,399,2,4,0,392,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:93,K20,93,2710,אום אל-פחם,13,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,525,385,383,2,1,0,376,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:94,K20,94,2710,אום אל-פחם,14,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,575,327,325,2,1,0,317,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:95,K20,95,2710,אום אל-פחם,15,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,679,535,532,3,2,0,517,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,4,0,0,1,1,0,1,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:96,K20,96,2710,אום אל-פחם,16,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,530,310,310,0,3,0,298,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,0,0,0,1,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:97,K20,97,2710,אום אל-פחם,17,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,510,438,433,5,0,0,427,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:98,K20,98,2710,אום אל-פחם,18,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,711,463,461,2,0,0,443,0,0,2,0,0,0,0,0,1,0,1,8,0,0,0,6,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:99,K20,99,2710,אום אל-פחם,19,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,690,633,629,4,2,0,593,0,0,0,0,0,0,0,0,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:100,K20,100,2710,אום אל-פחם,20,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,708,491,489,2,2,1,478,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:101,K20,101,2710,אום אל-פחם,21,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,632,496,494,2,2,0,474,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,1,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:102,K20,102,2710,אום אל-פחם,22,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,401,265,264,1,1,0,252,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:103,K20,103,2710,אום אל-פחם,23,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,611,376,374,2,2,0,371,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:104,K20,104,2710,אום אל-פחם,24,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,682,435,431,4,1,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
