source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס,unresolved_reason
K17:71,K17,71,,מעטפות כפולות,1710,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1200,1172,28,141,74,3,0,1,1,4,70,5,140,1,15,245,0,111,116,50,0,0,3,0,0,1,0,0,1,3,50,0,36,101,Non-geographic row is counted but not mapped
K17:72,K17,72,,מעטפות כפולות,1720,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1207,1188,19,149,70,6,0,5,0,6,53,9,106,3,11,273,0,109,129,57,0,1,3,1,1,1,0,0,0,0,41,1,45,108,Non-geographic row is counted but not mapped
K17:73,K17,73,,מעטפות כפולות,1730,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1200,1180,20,145,38,9,1,3,0,7,51,5,133,6,17,254,3,114,105,61,3,14,15,0,0,0,0,1,1,0,56,2,42,94,Non-geographic row is counted but not mapped
K17:74,K17,74,,מעטפות כפולות,1740,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1179,1161,18,163,78,6,2,2,1,9,59,5,118,3,17,224,0,96,106,50,2,6,3,0,4,2,0,1,1,1,69,0,45,88,Non-geographic row is counted but not mapped
K17:75,K17,75,,מעטפות כפולות,1750,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1207,1185,22,176,30,5,1,6,0,1,70,5,100,3,6,239,1,121,129,57,3,9,11,0,1,6,0,0,2,3,76,1,39,84,Non-geographic row is counted but not mapped
K17:76,K17,76,,מעטפות כפולות,1760,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1200,1178,22,139,86,2,0,7,0,4,62,6,104,1,13,233,0,105,120,59,4,0,15,0,1,1,0,0,2,0,57,0,51,106,Non-geographic row is counted but not mapped
K17:77,K17,77,,מעטפות כפולות,1770,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1200,1166,34,150,31,2,1,5,0,0,52,4,128,3,15,254,1,113,139,54,3,8,9,0,0,0,2,1,3,1,74,1,37,75,Non-geographic row is counted but not mapped
K17:78,K17,78,,מעטפות כפולות,1780,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1195,1169,26,150,32,3,1,6,0,7,57,0,103,4,12,297,4,116,110,65,1,5,8,0,0,1,1,0,0,0,69,0,50,67,Non-geographic row is counted but not mapped
K17:79,K17,79,,מעטפות כפולות,1790,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1189,1164,25,151,9,3,1,4,0,3,36,5,129,1,13,271,0,91,105,74,7,18,10,1,1,0,1,0,2,3,67,1,50,107,Non-geographic row is counted but not mapped
K17:80,K17,80,,מעטפות כפולות,1800,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1180,1157,23,144,13,2,1,3,3,8,41,4,180,3,23,250,0,94,112,48,4,1,12,1,0,0,0,0,0,0,68,0,43,99,Non-geographic row is counted but not mapped
